Protein Identifier,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,VS111,VS211,VS311,VS411,VS511,VS611,VS711,VS121,VS221,VS321,VS421,VS521,VS621,VS721,VS131,VS231,VS331,VS431,VS531,VS631,VS731,VS141,VS241,VS341,VS441,VS541,VS641,VS741,VS151,VS251,VS351,VS451,VS551,VS651,VS751,VS161,VS261,VS361,VS461,VS561,VS661,VS761,VS171,VS271,VS371,VS471,VS571,VS671,VS771,VS112,VS212,VS312,VS412,VS512,VS612,VS712,VS122,VS222,VS322,VS422,VS522,VS622,VS722,VS132,VS232,VS332,VS432,VS532,VS632,VS732,VS142,VS242,VS342,VS442,VS542,VS642,VS742,VS152,VS252,VS352,VS452,VS552,VS652,VS752,VS162,VS262,VS362,VS462,VS562,VS662,VS762,VS172,VS272,VS372,VS472,VS572,VS672,VS772,VS113,VS213,VS313,VS413,VS513,VS613,VS713,VS123,VS223,VS323,VS423,VS523,VS623,VS723,VS133,VS233,VS333,VS433,VS533,VS633,VS733,VS143,VS243,VS343,VS443,VS543,VS643,VS743,VS153,VS253,VS353,VS453,VS553,VS653,VS753,VS163,VS263,VS363,VS463,VS563,VS663,VS763,VS173,VS273,VS373,VS473,VS573,VS673,VS773,VS114,VS214,VS314,VS414,VS514,VS614,VS714,VS124,VS224,VS324,VS424,VS524,VS624,VS724,VS134,VS234,VS334,VS434,VS534,VS634,VS734,VS144,VS244,VS344,VS444,VS544,VS644,VS744,VS154,VS254,VS354,VS454,VS554,VS654,VS754,VS164,VS264,VS364,VS464,VS564,VS664,VS764,VS174,VS274,VS374,VS474,VS574,VS674,VS774,VS115,VS215,VS315,VS415,VS515,VS615,VS715,VS125,VS225,VS325,VS425,VS525,VS625,VS725,VS135,VS235,VS335,VS435,VS535,VS635,VS735,VS145,VS245,VS345,VS445,VS545,VS645,VS745,VS155,VS255,VS355,VS455,VS555,VS655,VS755,VS165,VS265,VS365,VS465,VS565,VS665,VS765,VS175,VS275,VS375,VS475,VS575,VS675,VS775,VS116,VS216,VS316,VS416,VS516,VS616,VS716,VS126,VS226,VS326,VS426,VS526,VS626,VS726,VS136,VS236,VS336,VS436,VS536,VS636,VS736,VS146,VS246,VS346,VS446,VS546,VS646,VS746,VS156,VS256,VS356,VS456,VS556,VS656,VS756,VS166,VS266,VS366,VS466,VS566,VS666,VS766,VS176,VS276,VS376,VS476,VS576,VS676,VS776,VS117,VS217,VS317,VS417,VS517,VS617,VS717,VS127,VS227,VS327,VS427,VS527,VS627,VS727,VS137,VS237,VS337,VS437,VS537,VS637,VS737,VS147,VS247,VS347,VS447,VS547,VS647,VS747,VS157,VS257,VS357,VS457,VS557,VS657,VS757,VS167,VS267,VS367,VS467,VS567,VS667,VS767,VS177,VS277,VS377,VS477,VS577,VS677,VS777,PSSM_A,PSSM_R,PSSM_N,PSSM_D,PSSM_C,PSSM_Q,PSSM_E,PSSM_G,PSSM_H,PSSM_I,PSSM_L,PSSM_K,PSSM_M,PSSM_F,PSSM_P,PSSM_S,PSSM_T,PSSM_W,PSSM_Y,PSSM_V
P15873,0.050387596899224806,0.031007751937984496,0.023255813953488372,0.10465116279069768,0.015503875968992248,0.03488372093023256,0.07364341085271318,0.046511627906976744,0.007751937984496124,0.09302325581395349,0.12403100775193798,0.06976744186046512,0.023255813953488372,0.06589147286821706,0.031007751937984496,0.09302325581395349,0.046511627906976744,0.0,0.015503875968992248,0.050387596899224806,0,3,0,1,1,0,0,1,5,2,3,3,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,3,1,0,0,2,0,0,0,0,0,1,1,0,1,2,2,0,1,4,0,5,4,5,1,3,2,0,3,4,5,1,1,4,0,2,3,1,0,0,3,0,1,7,2,0,1,1,0,3,3,3,0,1,1,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,0,1,5,2,2,4,0,1,3,0,0,0,3,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,2,3,3,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,5,3,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,4,0,0,0,2,0,0,3,3,2,3,1,0,1,3,2,2,0,2,0,0,2,0,0,0,0,0,1,1,1,0,1,0,1,1,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.7821011673151751,-1.3735408560311284,-1.1906614785992218,-0.9494163424124513,-2.1634241245136185,-1.2140077821011672,-0.622568093385214,-1.953307392996109,-1.8171206225680934,-0.7354085603112841,-0.9961089494163424,-0.7509727626459144,-0.8638132295719845,-1.3657587548638133,-2.1206225680933852,-0.40077821011673154,-0.5797665369649806,-3.311284046692607,-1.688715953307393,-0.7198443579766537
P15992,0.0514018691588785,0.037383177570093455,0.08411214953271028,0.09813084112149532,0.0,0.02336448598130841,0.056074766355140186,0.07009345794392523,0.014018691588785047,0.04205607476635514,0.07476635514018691,0.09345794392523364,0.004672897196261682,0.0514018691588785,0.06542056074766354,0.07476635514018691,0.03271028037383177,0.009345794392523364,0.03271028037383177,0.08411214953271028,3,2,2,1,1,2,0,3,2,2,1,0,0,0,2,2,2,1,1,1,0,1,0,1,1,0,0,0,1,3,0,0,1,1,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0,5,1,3,0,1,1,0,1,2,3,1,1,3,0,0,3,2,2,0,2,0,0,0,0,1,1,3,0,2,2,0,1,1,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,2,1,0,0,1,0,1,1,1,0,0,2,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,1,2,0,0,0,0,1,0,0,2,0,0,2,1,1,2,1,0,1,0,0,1,1,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,2,1,2,1,2,1,0,3,1,0,1,2,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,2,0,0,4,1,1,1,2,0,0,1,0,1,0,0,0,0,1,1,1,0,2,0,3,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8732394366197183,-0.5211267605633803,-0.43661971830985913,-0.568075117370892,-2.60093896713615,-0.6291079812206573,-0.3192488262910798,-1.2816901408450705,-0.8873239436619719,-1.3098591549295775,-1.4647887323943662,-0.4413145539906103,-1.1455399061032865,-1.215962441314554,-1.1737089201877935,-0.27699530516431925,-0.6338028169014085,-2.2535211267605635,-1.375586854460094,-1.0704225352112675
P16474,0.08357771260997067,0.02932551319648094,0.04985337243401759,0.08651026392961877,0.001466275659824047,0.030791788856304986,0.08064516129032258,0.07771260997067449,0.011730205278592375,0.06304985337243402,0.09090909090909091,0.08797653958944282,0.013196480938416423,0.036656891495601175,0.02932551319648094,0.05718475073313783,0.05865102639296188,0.001466275659824047,0.026392961876832845,0.08357771260997067,13,6,9,5,3,5,1,7,9,5,2,5,5,0,8,9,4,3,2,2,0,5,2,2,2,3,2,0,3,6,4,1,3,5,0,4,8,1,2,4,6,0,0,0,1,0,0,0,0,8,8,8,5,6,2,0,7,5,7,6,4,2,0,9,5,2,3,1,7,0,1,3,2,4,3,2,0,6,2,4,3,1,4,0,1,6,2,1,1,8,0,0,0,0,0,0,0,0,8,6,4,2,6,6,0,6,5,5,1,4,4,0,5,4,3,2,0,2,0,1,1,1,2,1,2,0,3,1,0,0,2,3,0,4,6,2,1,1,1,0,0,0,0,0,0,0,0,4,2,2,2,1,4,0,4,3,2,1,0,1,0,1,2,2,0,2,1,0,1,2,0,0,2,4,0,2,2,3,1,2,0,0,2,4,1,1,2,1,0,0,0,0,0,0,0,0,2,5,2,1,4,2,0,4,5,4,0,1,2,0,4,3,4,0,1,2,0,4,1,0,1,1,0,0,2,5,1,0,1,2,0,6,3,2,2,0,3,0,0,0,0,0,0,0,0,7,6,3,1,2,6,0,9,4,5,5,6,4,0,5,2,0,0,3,1,0,3,2,3,0,0,1,0,0,0,2,2,2,2,0,8,6,3,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8340675477239354,-1.829662261380323,-1.7048458149779735,-1.6637298091042585,-3.2290748898678414,-1.3054331864904551,-1.2173274596182084,-2.3127753303964758,-2.3538913362701908,-1.7430249632892805,-2.0088105726872247,-1.1938325991189427,-1.81791483113069,-2.7577092511013217,-2.7063142437591776,-1.1277533039647578,-1.0998531571218797,-4.058737151248164,-2.748898678414097,-1.459618208516887
P16522,0.0670926517571885,0.04472843450479233,0.052715654952076675,0.06549520766773163,0.022364217252396165,0.04952076677316294,0.07987220447284345,0.038338658146964855,0.01437699680511182,0.05591054313099041,0.1134185303514377,0.07507987220447285,0.027156549520766772,0.054313099041533544,0.01437699680511182,0.07348242811501597,0.04153354632587859,0.01597444089456869,0.05750798722044728,0.036741214057507986,0,1,1,3,4,0,0,7,2,3,5,2,3,0,4,3,3,2,2,3,0,1,2,3,2,2,0,0,1,6,2,4,3,0,0,5,3,0,0,2,3,0,0,0,0,0,2,0,0,4,5,1,3,2,5,1,7,3,7,2,4,3,1,2,5,9,5,5,2,1,5,5,6,2,1,2,1,2,9,5,1,2,2,0,3,5,3,5,3,7,0,0,1,0,0,0,1,1,2,6,6,2,3,2,0,2,4,7,7,5,5,0,5,10,3,2,1,4,2,3,1,4,4,3,1,0,1,2,1,1,3,1,0,1,5,3,2,0,5,0,1,0,1,0,1,2,0,1,4,4,2,3,0,0,0,5,2,1,5,5,1,7,3,4,4,1,3,0,1,5,2,0,0,1,0,2,3,2,2,1,1,0,2,0,2,2,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,2,0,2,8,6,3,2,4,1,0,3,6,1,0,1,2,2,2,2,1,2,0,0,0,2,2,0,0,3,2,0,3,0,5,0,0,0,0,0,0,0,0,2,0,2,4,2,0,2,4,1,3,5,4,4,3,5,0,3,5,2,0,0,2,0,2,4,6,0,3,2,0,2,3,0,1,0,0,0,3,7,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,-0.0736,-0.2944,-0.528,-0.7584,-1.4656,0.2352,0.28,-1.9488,-0.4336,-1.1632,-0.2832,0.064,-0.6288,-1.448,-2.2688,-0.5488,-1.2352,-1.9456,-0.4352,-1.3632
P16649,0.07152875175315568,0.037868162692847124,0.061711079943899017,0.06030855539971949,0.009817671809256662,0.08555399719495091,0.05049088359046283,0.047685834502103785,0.019635343618513323,0.037868162692847124,0.08415147265077139,0.05049088359046283,0.011220196353436185,0.0182328190743338,0.05049088359046283,0.09817671809256662,0.10098176718092566,0.008415147265077139,0.028050490883590462,0.06732117812061711,5,7,10,0,2,1,0,2,6,8,5,4,2,0,14,7,10,6,5,5,0,2,5,3,2,0,0,0,2,0,1,1,0,2,1,1,4,1,2,3,2,1,0,0,0,0,0,0,1,3,6,6,1,1,2,0,5,7,7,5,3,2,0,12,5,8,2,3,3,1,1,1,2,11,1,1,0,6,3,4,1,2,3,0,2,2,5,5,2,1,0,1,0,0,0,0,0,0,8,8,19,6,1,4,0,4,7,8,0,2,3,1,9,5,20,7,1,3,0,3,2,3,4,4,2,0,1,3,1,4,2,2,0,2,5,3,4,4,2,0,0,0,0,1,0,0,0,4,2,4,5,2,2,0,2,5,3,5,8,1,0,3,5,3,2,1,3,0,7,8,5,21,1,4,0,0,3,0,3,1,0,0,1,4,3,2,1,0,0,1,0,0,0,0,0,0,2,1,3,0,1,2,1,2,2,2,2,1,4,0,3,1,3,1,2,1,0,3,2,1,6,0,2,1,0,1,1,2,0,1,0,3,2,0,1,1,1,0,0,0,0,0,0,1,0,2,3,3,0,0,3,0,4,2,6,0,1,5,0,4,2,2,0,1,5,0,2,5,3,2,1,2,0,1,3,4,4,0,0,0,1,1,2,1,1,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.8764044943820225,-0.9985955056179775,-0.9971910112359551,-1.053370786516854,-1.3174157303370786,-0.875,-1.146067415730337,-1.7064606741573034,-0.7879213483146067,-1.4508426966292134,-1.252808988764045,-0.9073033707865169,-1.4269662921348314,-1.75,-2.056179775280899,0.01544943820224719,-0.5379213483146067,-2.318820224719101,-1.6362359550561798,-1.1741573033707866
P17065,0.061923583662714096,0.03820816864295125,0.06060606060606061,0.08563899868247694,0.011857707509881422,0.04479578392621871,0.08563899868247694,0.034255599472990776,0.014492753623188406,0.06060606060606061,0.08827404479578392,0.09354413702239789,0.011857707509881422,0.022397891963109356,0.025032938076416336,0.13306982872200263,0.06455862977602109,0.00922266139657444,0.017127799736495388,0.03689064558629776,4,3,3,2,2,0,0,4,3,5,4,4,1,0,1,5,7,1,2,5,0,2,3,2,0,1,5,0,1,2,1,3,5,1,0,2,1,4,2,2,6,0,0,1,0,0,0,1,0,3,4,5,0,3,3,0,3,3,9,2,4,6,2,2,6,12,4,8,5,1,3,3,6,4,1,6,0,2,4,2,1,7,3,1,1,2,3,5,1,6,1,0,0,0,1,1,0,0,0,4,4,6,5,3,0,2,5,8,4,4,5,0,10,11,21,4,3,7,0,0,1,5,3,3,6,0,2,9,0,4,2,4,0,7,5,3,1,1,8,0,1,0,0,0,0,0,0,3,3,1,0,1,2,0,5,3,4,3,3,1,0,6,1,7,4,2,4,0,3,1,3,1,1,3,1,2,2,2,1,0,1,0,1,7,3,2,3,6,1,0,1,0,0,0,0,0,0,3,1,3,1,6,0,0,8,8,6,4,1,0,2,1,3,2,2,2,0,0,9,3,0,1,0,0,5,4,4,3,2,2,0,4,2,1,3,2,1,0,0,1,0,0,0,0,0,3,4,7,2,1,3,2,4,6,3,3,1,5,0,1,4,6,2,4,2,0,2,2,5,3,1,3,0,2,4,3,1,4,2,0,7,5,5,3,7,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.4023746701846966,-0.36939313984168864,0.06860158311345646,0.4419525065963061,-2.1688654353562007,0.3311345646437995,0.6978891820580475,-0.6160949868073878,-0.9762532981530343,-1.29155672823219,-1.1715039577836412,0.31398416886543534,-1.0659630606860158,-1.974934036939314,-0.7994722955145118,0.1517150395778364,-0.33641160949868076,-2.5369393139841687,-1.5949868073878628,-1.1372031662269129
P17106,0.08262108262108261,0.05413105413105413,0.07692307692307693,0.07977207977207977,0.002849002849002849,0.05982905982905983,0.11965811965811966,0.04843304843304843,0.02564102564102564,0.039886039886039885,0.07692307692307693,0.08262108262108261,0.019943019943019943,0.0,0.02564102564102564,0.09401709401709402,0.05982905982905983,0.005698005698005698,0.022792022792022793,0.022792022792022793,3,0,1,0,1,3,1,0,3,2,2,0,1,0,3,0,0,2,0,2,0,2,3,1,1,0,1,0,0,1,1,0,3,3,0,1,1,3,3,2,3,0,1,0,0,0,0,0,0,1,0,3,2,3,1,0,3,3,1,0,1,2,0,1,1,3,2,0,3,0,2,0,2,0,0,2,0,1,0,0,3,1,1,0,1,1,2,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,3,2,0,3,3,2,0,2,1,0,2,4,2,4,1,4,0,2,3,4,3,1,0,0,0,0,1,0,1,0,0,1,3,2,2,4,2,0,0,0,0,0,0,0,0,0,2,2,2,0,3,0,1,1,3,2,2,1,0,3,2,4,3,0,3,0,1,0,2,2,0,3,0,0,0,1,0,3,1,0,2,1,2,1,2,3,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,1,0,1,0,1,1,0,1,0,3,1,0,0,0,0,2,3,1,2,2,0,4,2,1,3,4,2,0,2,1,0,3,0,1,0,0,0,0,0,0,0,0,2,1,0,2,0,2,0,2,0,1,2,0,2,0,1,4,5,1,1,2,0,2,2,4,1,2,3,0,1,1,1,4,4,0,0,0,0,5,5,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36857142857142855,-0.16857142857142857,0.07428571428571429,-0.38285714285714284,-1.9914285714285713,0.24571428571428572,0.12,-0.9085714285714286,-0.4742857142857143,-1.502857142857143,-1.1428571428571428,-0.16857142857142857,-0.8285714285714286,-1.7457142857142858,-0.20285714285714285,0.6142857142857143,-0.22857142857142856,-2.8257142857142856,-1.562857142857143,-1.217142857142857
P17423,0.07563025210084033,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.022408963585434174,0.0392156862745098,0.056022408963585436,0.0784313725490196,0.011204481792717087,0.06722689075630252,0.11204481792717087,0.036414565826330535,0.0196078431372549,0.028011204481792718,0.08123249299719888,0.06722689075630252,0.06162464985994398,0.0056022408963585435,0.03081232492997199,0.06442577030812324,8,2,5,0,1,2,0,6,6,2,3,2,3,1,1,5,6,0,1,1,0,1,1,1,0,2,0,0,2,2,2,0,0,1,0,1,1,4,2,0,0,0,0,1,1,0,0,0,0,6,10,5,1,3,2,0,7,9,4,3,1,5,0,4,5,1,0,2,0,0,3,2,1,3,2,2,0,0,1,0,3,0,0,1,1,4,3,2,2,2,0,0,1,1,0,1,0,0,2,6,1,1,1,2,2,7,5,2,2,1,4,2,4,5,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,2,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,2,1,0,1,3,1,1,0,1,0,2,2,1,0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,4,3,0,1,1,0,0,1,3,1,0,0,1,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,1,0,0,3,3,3,0,1,0,3,2,1,0,1,1,0,2,1,4,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20224719101123595,-1.146067415730337,-1.3707865168539326,-1.4129213483146068,-1.7640449438202248,-1.351123595505618,-1.0870786516853932,-1.2134831460674158,-1.4550561797752808,-1.0056179775280898,-0.8960674157303371,-1.1629213483146068,-1.3258426966292134,-1.4662921348314606,-1.699438202247191,-0.7106741573033708,-0.9634831460674157,-2.4719101123595504,-1.6797752808988764,-0.7949438202247191
P17555,0.07984790874524715,0.024714828897338403,0.058935361216730035,0.058935361216730035,0.0076045627376425855,0.04182509505703422,0.06844106463878327,0.055133079847908745,0.009505703422053232,0.057034220532319393,0.06844106463878327,0.08745247148288973,0.013307984790874524,0.03802281368821293,0.06653992395437262,0.11026615969581749,0.058935361216730035,0.009505703422053232,0.028517110266159697,0.057034220532319393,3,2,7,3,3,3,0,4,6,8,1,2,2,0,5,5,5,1,2,3,1,1,3,3,1,0,3,0,1,4,1,1,1,0,0,3,4,4,1,2,2,0,0,0,0,0,0,0,0,8,4,5,3,1,2,0,4,10,3,4,5,2,0,5,5,4,3,1,6,0,5,2,2,0,2,4,0,4,3,0,4,5,0,0,3,3,4,2,1,0,0,0,0,0,0,1,0,0,2,6,5,1,1,6,0,2,1,6,4,2,4,1,4,2,7,5,1,2,1,2,4,2,2,4,2,0,1,3,3,0,0,2,0,2,4,4,2,5,2,0,0,0,2,0,1,0,0,3,2,1,2,1,3,0,5,2,2,1,0,2,0,2,3,3,3,2,2,1,1,2,1,0,1,0,0,0,1,3,3,0,0,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,0,2,7,3,3,2,3,0,2,2,1,2,2,2,0,3,0,5,2,0,0,0,1,4,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,1,1,1,0,6,2,3,2,5,0,0,3,3,1,2,1,3,0,0,1,3,0,0,2,0,0,4,2,1,2,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21904761904761905,-0.8514285714285714,-0.5485714285714286,-0.819047619047619,-1.68,-0.31047619047619046,-0.4114285714285714,-1.1257142857142857,-1.019047619047619,-1.1085714285714285,-1.1714285714285715,-0.3180952380952381,-0.7961904761904762,-1.5276190476190477,-0.6666666666666666,0.024761904761904763,-0.22095238095238096,-2.179047619047619,-1.2342857142857142,-0.7904761904761904
P17709,0.062,0.044,0.03,0.064,0.014,0.038,0.066,0.076,0.03,0.054,0.118,0.064,0.028,0.038,0.044,0.066,0.072,0.004,0.026,0.062,5,6,4,1,3,2,0,5,9,5,1,4,4,0,5,2,2,1,1,2,1,1,4,4,0,1,2,0,2,1,1,1,2,5,0,3,1,2,0,5,0,1,0,1,0,0,0,0,0,7,9,1,3,4,2,1,7,2,8,4,4,2,1,8,5,8,4,1,0,0,4,2,4,0,3,3,0,1,4,3,3,0,2,0,4,1,2,2,0,7,0,1,0,0,0,0,0,0,2,3,6,4,2,3,0,6,3,5,4,3,3,0,2,7,3,1,1,3,2,1,3,1,1,1,5,0,1,2,3,0,4,0,0,2,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,2,0,2,1,0,3,5,2,2,0,3,0,2,4,1,1,4,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,4,3,2,1,1,1,0,0,0,0,0,0,0,0,1,4,0,0,1,2,0,4,5,3,2,0,2,0,0,4,1,3,2,0,0,0,4,0,0,0,1,0,1,0,2,1,0,2,0,1,2,5,0,1,0,0,0,0,0,0,0,0,0,4,4,1,3,0,2,0,1,4,3,2,1,2,0,3,2,5,2,1,1,0,0,1,2,0,0,1,0,3,4,1,0,0,0,0,0,6,2,0,0,1,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6352705410821643,-1.0681362725450902,-1.1442885771543085,-1.1402805611222444,-1.74749498997996,-0.9378757515030061,-0.7895791583166333,-1.4809619238476954,-1.2565130260521042,-1.0480961923847696,-1.0400801603206413,-0.8777555110220441,-0.8176352705410822,-1.6132264529058116,-1.7595190380761523,-0.5771543086172345,-0.6693386773547094,-2.5130260521042085,-1.4509018036072143,-0.8857715430861723
P19262,0.09287257019438445,0.047516198704103674,0.038876889848812095,0.038876889848812095,0.0021598272138228943,0.02159827213822894,0.09071274298056156,0.058315334773218146,0.008639308855291577,0.047516198704103674,0.0755939524838013,0.09287257019438445,0.028077753779697623,0.032397408207343416,0.056155507559395246,0.08423326133909287,0.08423326133909287,0.0021598272138228943,0.017278617710583154,0.07991360691144708,7,4,8,5,1,3,0,4,3,7,2,3,3,0,6,7,2,2,4,2,0,3,1,2,0,5,1,0,0,1,5,2,1,0,0,2,4,1,1,5,0,0,0,0,0,0,0,0,0,5,3,3,0,1,2,0,2,2,5,1,1,6,0,11,5,4,3,2,3,1,2,1,0,0,0,2,0,2,2,5,2,2,3,0,3,3,2,2,2,4,0,0,0,0,0,0,0,0,6,8,7,2,1,3,0,3,3,11,0,5,3,0,1,4,3,1,1,4,0,1,2,1,1,0,1,0,3,3,1,1,3,0,0,5,1,2,0,3,3,0,1,0,0,0,0,0,0,2,1,1,2,1,1,0,1,2,2,0,1,0,0,1,3,1,0,1,1,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,6,3,2,0,2,2,0,2,5,2,2,3,2,0,7,3,1,0,2,3,0,1,0,3,0,0,1,0,2,6,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,2,3,2,2,0,2,2,3,0,3,2,0,1,3,3,0,1,1,0,1,1,0,0,0,1,0,6,3,2,0,3,0,0,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18831168831168832,-1.132034632034632,-0.9502164502164502,-1.300865800865801,-2.448051948051948,-0.7510822510822511,-0.8051948051948052,-1.432900432900433,-1.5757575757575757,-0.9718614718614719,-1.2380952380952381,-0.6038961038961039,-0.9285714285714286,-1.7965367965367964,-1.0692640692640694,-0.33116883116883117,-0.4458874458874459,-2.9761904761904763,-1.7532467532467533,-0.5541125541125541
