Identifier A,Identifier B,Interaction
Q12390,Q12390,1
Q12033,Q12033,1
P41697,P41697,1
P41546,P41546,1
P53112,P53112,1
P38013,P38013,1
Q06675,Q06675,1
P22216,P22216,1
P53129,P53129,1
P39723,P39723,1
P28795,P28795,1
P29340,P29340,1
P35056,P35056,1
Q12462,Q12462,1
P80667,P80667,1
P14682,P14682,1
Q12102,Q12102,1
Q05568,Q05568,1
P17106,P17106,1
Q03071,Q03071,1
P06633,P06633,1
P05986,P05986,1
P03962,P03962,1
P06782,P06782,1
P03069,P03069,1
Q07540,Q07540,1
P12904,P12904,1
P15873,P15873,1
P32361,P32361,1
P40416,P40416,1
P25367,P25367,1
P32458,P32458,1
P25342,P25342,1
P36095,P36095,1
P53178,P53178,1
P53853,P53853,1
P53617,P53617,1
P32797,P32797,1
P36010,P36010,1
Q08931,Q08931,1
P40151,P40151,1
Q12306,Q12306,1
P43545,P43545,1
P40325,P40325,1
P40892,P40892,1
P38272,P38272,1
Q12084,Q12084,1
P47115,P47115,1
P36068,P36068,1
P39929,P39929,1
Q99210,Q99210,1
Q03860,Q03860,1
P39996,P39996,1
P39979,P39979,1
P38821,P38821,1
P40582,P40582,1
P39534,P39534,1
P07272,P07272,1
P42884,P42884,1
Q03818,Q03818,1
Q06178,Q06178,1
Q01389,Q01389,1
P43619,P43619,1
P38276,P38276,1
P53184,P53184,1
P53633,P53633,1
P22804,P22804,1
P04821,P04821,1
P16649,P16649,1
P15442,P15442,1
P20050,P20050,1
P31539,P31539,1
P04807,P04807,1
P32917,P32917,1
P52917,P52917,1
P41695,P41695,1
Q02939,Q02939,1
Q3E7C1,Q3E7C1,1
P40303,P40303,1
P32639,P32639,1
Q08601,Q08601,1
Q12154,Q12154,1
P40485,P40485,1
P25293,P25293,1
P38874,P38874,1
Q02884,Q02884,1
P53739,P53739,1
P52891,P52891,1
Q05567,Q05567,1
Q12230,Q12230,1
P51534,P51534,1
P31111,P31111,1
P40161,P40161,1
P38822,P38822,1
Q04868,Q04868,1
Q06706,Q06706,1
P42935,P42935,1
P61829,P61829,1
Q02908,Q02908,1
P38247,P38247,1
P00447,P00447,1
Q12051,Q12051,1
Q12334,Q12334,1
Q01454,Q01454,1
P25638,P25638,1
P36057,P36057,1
P41543,P41543,1
P46964,P46964,1
P39007,P39007,1
P38339,P38339,1
Q05080,Q05080,1
Q12440,Q12440,1
P08640,P08640,1
Q03034,Q03034,1
Q05791,Q05791,1
P24719,P24719,1
P21190,P21190,1
P16474,P16474,1
P08638,P08638,1
P11746,P11746,1
P29469,P29469,1
P24279,P24279,1
P38523,P38523,1
P08964,P08964,1
P23561,P23561,1
P30771,P30771,1
P32829,P32829,1
Q04673,Q04673,1
P06786,P06786,1
P06843,P06843,1
P39081,P39081,1
P33338,P33338,1
P14291,P14291,1
P25454,P25454,1
P21951,P21951,1
P39998,P39998,1
P06778,P06778,1
P39743,P39743,1
Q03654,Q03654,1
P23542,P23542,1
P32523,P32523,1
P0C0X0,P0C0X0,1
P32468,P32468,1
P38853,P38853,1
P54786,P54786,1
P32908,P32908,1
P30822,P30822,1
Q08581,Q08581,1
Q06440,Q06440,1
Q06407,Q06407,1
P40957,P40957,1
Q07457,Q07457,1
P17065,P17065,1
P32618,P32618,1
P27895,P27895,1
P53253,P53253,1
P33419,P33419,1
Q03954,Q03954,1
P00830,P00830,1
P12753,P12753,1
P28743,P28743,1
P40460,P40460,1
P32389,P32389,1
Q04477,Q04477,1
P47129,P47129,1
P47037,P47037,1
Q12191,Q12191,1
P36094,P36094,1
P22209,P22209,1
Q12346,Q12346,1
P38183,P38183,1
Q02895,Q02895,1
Q08904,Q08904,1
Q12134,Q12134,1
Q99312,Q99312,1
P38910,P38910,1
P27515,P27515,1
Q03063,Q03063,1
P53862,P53862,1
Q03790,Q03790,1
P32796,P32796,1
P53895,P53895,1
P09201,P09201,1
Q06410,Q06410,1
Q06708,Q06708,1
Q06169,Q06169,1
P17709,P17709,1
P32861,P32861,1
P38080,P38080,1
