Identifier A,Identifier B,Interaction,negative_source,left_partition_size,right_partition_size
P15873,P53184,0,bipartite_non_edge,169.0,155.0
P15873,P57743,0,bipartite_non_edge,169.0,155.0
P15873,Q07457,0,bipartite_non_edge,169.0,155.0
P15873,Q12390,0,bipartite_non_edge,169.0,155.0
P15992,P32908,0,bipartite_non_edge,169.0,155.0
P15992,P47095,0,bipartite_non_edge,169.0,155.0
P15992,Q03818,0,bipartite_non_edge,169.0,155.0
P15992,Q12134,0,bipartite_non_edge,169.0,155.0
P16474,P43639,0,bipartite_non_edge,169.0,155.0
P16474,Q12154,0,bipartite_non_edge,169.0,155.0
P16522,P28795,0,bipartite_non_edge,169.0,155.0
P16522,P32849,0,bipartite_non_edge,169.0,155.0
P16522,Q04003,0,bipartite_non_edge,169.0,155.0
P16649,P24279,0,bipartite_non_edge,169.0,155.0
P16649,P38272,0,bipartite_non_edge,169.0,155.0
P16649,P39743,0,bipartite_non_edge,169.0,155.0
P17065,P17709,0,bipartite_non_edge,169.0,155.0
P17065,P47037,0,bipartite_non_edge,169.0,155.0
P17106,P29469,0,bipartite_non_edge,169.0,155.0
P17106,P38272,0,bipartite_non_edge,169.0,155.0
P17106,Q03898,0,bipartite_non_edge,169.0,155.0
P17709,P27515,0,bipartite_non_edge,169.0,155.0
P17709,P31539,0,bipartite_non_edge,169.0,155.0
P17709,P40089,0,bipartite_non_edge,169.0,155.0
P17709,P48361,0,bipartite_non_edge,169.0,155.0
P17709,P80667,0,bipartite_non_edge,169.0,155.0
P17709,Q06440,0,bipartite_non_edge,169.0,155.0
P17709,Q12066,0,bipartite_non_edge,169.0,155.0
P19262,P43639,0,bipartite_non_edge,169.0,155.0
P20050,P47115,0,bipartite_non_edge,169.0,155.0
P20967,P35191,0,bipartite_non_edge,169.0,155.0
P21304,P38247,0,bipartite_non_edge,169.0,155.0
P21374,P29469,0,bipartite_non_edge,169.0,155.0
P21374,P38339,0,bipartite_non_edge,169.0,155.0
P21374,P39929,0,bipartite_non_edge,169.0,155.0
P21374,P40202,0,bipartite_non_edge,169.0,155.0
P21524,P40460,0,bipartite_non_edge,169.0,155.0
P21524,P41921,0,bipartite_non_edge,169.0,155.0
P21524,Q05568,0,bipartite_non_edge,169.0,155.0
P22216,Q12159,0,bipartite_non_edge,169.0,155.0
P22804,P53184,0,bipartite_non_edge,169.0,155.0
P22804,P53886,0,bipartite_non_edge,169.0,155.0
P22804,Q00684,0,bipartite_non_edge,169.0,155.0
P22804,Q12102,0,bipartite_non_edge,169.0,155.0
P23337,P25342,0,bipartite_non_edge,169.0,155.0
P23337,P38853,0,bipartite_non_edge,169.0,155.0
P23337,P47017,0,bipartite_non_edge,169.0,155.0
P23337,Q02939,0,bipartite_non_edge,169.0,155.0
P23337,Q07457,0,bipartite_non_edge,169.0,155.0
P23337,Q12390,0,bipartite_non_edge,169.0,155.0
P23561,P38822,0,bipartite_non_edge,169.0,155.0
P23561,P39928,0,bipartite_non_edge,169.0,155.0
P23561,P40151,0,bipartite_non_edge,169.0,155.0
P23561,P46946,0,bipartite_non_edge,169.0,155.0
P23561,P54861,0,bipartite_non_edge,169.0,155.0
P23561,Q05080,0,bipartite_non_edge,169.0,155.0
P24279,Q05580,0,bipartite_non_edge,169.0,155.0
P24279,Q12066,0,bipartite_non_edge,169.0,155.0
P24719,P25638,0,bipartite_non_edge,169.0,155.0
P24719,P38930,0,bipartite_non_edge,169.0,155.0
P24719,P41921,0,bipartite_non_edge,169.0,155.0
P24719,Q03860,0,bipartite_non_edge,169.0,155.0
P24719,Q05791,0,bipartite_non_edge,169.0,155.0
P25293,P35191,0,bipartite_non_edge,169.0,155.0
P25293,P61829,0,bipartite_non_edge,169.0,155.0
P25293,Q03654,0,bipartite_non_edge,169.0,155.0
P25293,Q03818,0,bipartite_non_edge,169.0,155.0
P25342,P36094,0,bipartite_non_edge,169.0,155.0
P25342,P53253,0,bipartite_non_edge,169.0,155.0
P25367,Q12033,0,bipartite_non_edge,169.0,155.0
P25454,P46954,0,bipartite_non_edge,169.0,155.0
P25638,P32361,0,bipartite_non_edge,169.0,155.0
P25638,P33419,0,bipartite_non_edge,169.0,155.0
P25638,P38339,0,bipartite_non_edge,169.0,155.0
P25638,P40460,0,bipartite_non_edge,169.0,155.0
P25638,P40963,0,bipartite_non_edge,169.0,155.0
P25638,P40969,0,bipartite_non_edge,169.0,155.0
P25638,P52891,0,bipartite_non_edge,169.0,155.0
P25638,Q03898,0,bipartite_non_edge,169.0,155.0
P26343,P40969,0,bipartite_non_edge,169.0,155.0
P26343,Q12329,0,bipartite_non_edge,169.0,155.0
P27515,P29340,0,bipartite_non_edge,169.0,155.0
P27515,P53895,0,bipartite_non_edge,169.0,155.0
P28743,Q06410,0,bipartite_non_edge,169.0,155.0
P28795,P33338,0,bipartite_non_edge,169.0,155.0
P29469,Q12440,0,bipartite_non_edge,169.0,155.0
P30771,P40151,0,bipartite_non_edge,169.0,155.0
P30771,Q03860,0,bipartite_non_edge,169.0,155.0
P30771,Q12154,0,bipartite_non_edge,169.0,155.0
P30822,P38147,0,bipartite_non_edge,169.0,155.0
P30822,P38272,0,bipartite_non_edge,169.0,155.0
P30822,P48361,0,bipartite_non_edge,169.0,155.0
P30822,P53886,0,bipartite_non_edge,169.0,155.0
P30822,Q04921,0,bipartite_non_edge,169.0,155.0
P30822,Q92331,0,bipartite_non_edge,169.0,155.0
P31111,P40151,0,bipartite_non_edge,169.0,155.0
P31111,P47095,0,bipartite_non_edge,169.0,155.0
P31111,P52917,0,bipartite_non_edge,169.0,155.0
P31111,Q03818,0,bipartite_non_edge,169.0,155.0
P31539,P32829,0,bipartite_non_edge,169.0,155.0
P31539,P43605,0,bipartite_non_edge,169.0,155.0
P31539,P47095,0,bipartite_non_edge,169.0,155.0
P32361,P32797,0,bipartite_non_edge,169.0,155.0
P32389,P38247,0,bipartite_non_edge,169.0,155.0
P32389,P41697,0,bipartite_non_edge,169.0,155.0
P32458,P39007,0,bipartite_non_edge,169.0,155.0
P32458,Q02908,0,bipartite_non_edge,169.0,155.0
P32468,P32639,0,bipartite_non_edge,169.0,155.0
P32468,Q00684,0,bipartite_non_edge,169.0,155.0
P32504,P39998,0,bipartite_non_edge,169.0,155.0
P32505,Q05568,0,bipartite_non_edge,169.0,155.0
P32618,P32628,0,bipartite_non_edge,169.0,155.0
P32628,P39928,0,bipartite_non_edge,169.0,155.0
P32639,P32796,0,bipartite_non_edge,169.0,155.0
P32796,P46964,0,bipartite_non_edge,169.0,155.0
P32796,P52891,0,bipartite_non_edge,169.0,155.0
P32796,Q06440,0,bipartite_non_edge,169.0,155.0
P32797,P32908,0,bipartite_non_edge,169.0,155.0
P32797,P33419,0,bipartite_non_edge,169.0,155.0
P32797,P42935,0,bipartite_non_edge,169.0,155.0
P32797,P53886,0,bipartite_non_edge,169.0,155.0
P32829,P43639,0,bipartite_non_edge,169.0,155.0
P32861,P48361,0,bipartite_non_edge,169.0,155.0
P32908,P38339,0,bipartite_non_edge,169.0,155.0
P32908,P39743,0,bipartite_non_edge,169.0,155.0
P32917,Q06410,0,bipartite_non_edge,169.0,155.0
P33338,P38042,0,bipartite_non_edge,169.0,155.0
P33338,P39081,0,bipartite_non_edge,169.0,155.0
P33338,P40325,0,bipartite_non_edge,169.0,155.0
P33338,P40957,0,bipartite_non_edge,169.0,155.0
P33338,P53184,0,bipartite_non_edge,169.0,155.0
P33338,Q04048,0,bipartite_non_edge,169.0,155.0
P33419,P42935,0,bipartite_non_edge,169.0,155.0
P33419,Q12066,0,bipartite_non_edge,169.0,155.0
P33420,P38147,0,bipartite_non_edge,169.0,155.0
P33420,P47025,0,bipartite_non_edge,169.0,155.0
P33420,Q06440,0,bipartite_non_edge,169.0,155.0
P33420,Q12159,0,bipartite_non_edge,169.0,155.0
P34730,P36036,0,bipartite_non_edge,169.0,155.0
P34730,P47095,0,bipartite_non_edge,169.0,155.0
P34730,Q02939,0,bipartite_non_edge,169.0,155.0
P35056,Q08601,0,bipartite_non_edge,169.0,155.0
P35191,Q00582,0,bipartite_non_edge,169.0,155.0
P35191,Q04477,0,bipartite_non_edge,169.0,155.0
P35191,Q05080,0,bipartite_non_edge,169.0,155.0
P35191,Q06675,0,bipartite_non_edge,169.0,155.0
P36036,P61829,0,bipartite_non_edge,169.0,155.0
P36068,P38042,0,bipartite_non_edge,169.0,155.0
P36068,P53886,0,bipartite_non_edge,169.0,155.0
P36094,Q04868,0,bipartite_non_edge,169.0,155.0
P38042,Q04921,0,bipartite_non_edge,169.0,155.0
P38042,Q12154,0,bipartite_non_edge,169.0,155.0
P38147,Q04868,0,bipartite_non_edge,169.0,155.0
P38147,Q12102,0,bipartite_non_edge,169.0,155.0
P38247,P39998,0,bipartite_non_edge,169.0,155.0
P38272,P53112,0,bipartite_non_edge,169.0,155.0
P38272,Q12102,0,bipartite_non_edge,169.0,155.0
P38339,Q03790,0,bipartite_non_edge,169.0,155.0
P38523,P40963,0,bipartite_non_edge,169.0,155.0
P38523,P47017,0,bipartite_non_edge,169.0,155.0
P38523,Q03790,0,bipartite_non_edge,169.0,155.0
P38822,P52917,0,bipartite_non_edge,169.0,155.0
P38822,Q07457,0,bipartite_non_edge,169.0,155.0
P38822,Q12033,0,bipartite_non_edge,169.0,155.0
P38874,P39996,0,bipartite_non_edge,169.0,155.0
P38874,P40582,0,bipartite_non_edge,169.0,155.0
P38874,Q04048,0,bipartite_non_edge,169.0,155.0
P38874,Q12329,0,bipartite_non_edge,169.0,155.0
P38930,P40202,0,bipartite_non_edge,169.0,155.0
P38930,Q03654,0,bipartite_non_edge,169.0,155.0
P39007,Q04003,0,bipartite_non_edge,169.0,155.0
P39081,P40316,0,bipartite_non_edge,169.0,155.0
P39081,P43639,0,bipartite_non_edge,169.0,155.0
P39081,Q00684,0,bipartite_non_edge,169.0,155.0
P39081,Q12365,0,bipartite_non_edge,169.0,155.0
P39113,P40073,0,bipartite_non_edge,169.0,155.0
P39113,P57743,0,bipartite_non_edge,169.0,155.0
P39113,Q02908,0,bipartite_non_edge,169.0,155.0
P39723,P46964,0,bipartite_non_edge,169.0,155.0
P39723,P53971,0,bipartite_non_edge,169.0,155.0
P39723,Q12390,0,bipartite_non_edge,169.0,155.0
P39743,Q03818,0,bipartite_non_edge,169.0,155.0
P39743,Q06169,0,bipartite_non_edge,169.0,155.0
P39743,Q12334,0,bipartite_non_edge,169.0,155.0
P39928,P47095,0,bipartite_non_edge,169.0,155.0
P39928,P54786,0,bipartite_non_edge,169.0,155.0
P39929,P39998,0,bipartite_non_edge,169.0,155.0
P39996,P48361,0,bipartite_non_edge,169.0,155.0
P39996,P81449,0,bipartite_non_edge,169.0,155.0
P40054,Q03898,0,bipartite_non_edge,169.0,155.0
P40073,P40316,0,bipartite_non_edge,169.0,155.0
P40073,P52891,0,bipartite_non_edge,169.0,155.0
P40073,Q3E7C1,0,bipartite_non_edge,169.0,155.0
P40089,Q12066,0,bipartite_non_edge,169.0,155.0
P40151,P47017,0,bipartite_non_edge,169.0,155.0
P40316,P46946,0,bipartite_non_edge,169.0,155.0
P40316,P47011,0,bipartite_non_edge,169.0,155.0
P40316,P53895,0,bipartite_non_edge,169.0,155.0
P40316,Q08581,0,bipartite_non_edge,169.0,155.0
P40325,P47011,0,bipartite_non_edge,169.0,155.0
P40460,P41921,0,bipartite_non_edge,169.0,155.0
P40460,Q02939,0,bipartite_non_edge,169.0,155.0
P40963,Q00582,0,bipartite_non_edge,169.0,155.0
P40963,Q05580,0,bipartite_non_edge,169.0,155.0
P40963,Q06706,0,bipartite_non_edge,169.0,155.0
P40963,Q12334,0,bipartite_non_edge,169.0,155.0
P40969,P54861,0,bipartite_non_edge,169.0,155.0
P40969,Q02100,0,bipartite_non_edge,169.0,155.0
P41543,Q04868,0,bipartite_non_edge,169.0,155.0
P46946,P54786,0,bipartite_non_edge,169.0,155.0
P46964,P53971,0,bipartite_non_edge,169.0,155.0
P47017,Q03790,0,bipartite_non_edge,169.0,155.0
P47037,Q03790,0,bipartite_non_edge,169.0,155.0
P47037,Q03898,0,bipartite_non_edge,169.0,155.0
P47037,Q12066,0,bipartite_non_edge,169.0,155.0
P47095,Q12084,0,bipartite_non_edge,169.0,155.0
P47129,Q12084,0,bipartite_non_edge,169.0,155.0
P52891,Q03898,0,bipartite_non_edge,169.0,155.0
P52891,Q06169,0,bipartite_non_edge,169.0,155.0
P52917,Q03818,0,bipartite_non_edge,169.0,155.0
P53112,Q04868,0,bipartite_non_edge,169.0,155.0
P53253,Q12440,0,bipartite_non_edge,169.0,155.0
P53895,Q05791,0,bipartite_non_edge,169.0,155.0
P53971,Q06410,0,bipartite_non_edge,169.0,155.0
P54861,Q03860,0,bipartite_non_edge,169.0,155.0
P57743,Q04868,0,bipartite_non_edge,169.0,155.0
Q02100,Q06410,0,bipartite_non_edge,169.0,155.0
Q02884,Q04003,0,bipartite_non_edge,169.0,155.0
Q02884,Q12334,0,bipartite_non_edge,169.0,155.0
Q02908,Q05080,0,bipartite_non_edge,169.0,155.0
Q02908,Q06410,0,bipartite_non_edge,169.0,155.0
Q02908,Q12390,0,bipartite_non_edge,169.0,155.0
Q03654,Q06704,0,bipartite_non_edge,169.0,155.0
Q03790,Q12446,0,bipartite_non_edge,169.0,155.0
Q04411,Q05568,0,bipartite_non_edge,169.0,155.0
Q04477,Q06169,0,bipartite_non_edge,169.0,155.0
Q05791,Q06410,0,bipartite_non_edge,169.0,155.0
Q06410,Q12154,0,bipartite_non_edge,169.0,155.0
