Identifier A,Identifier B,Interaction
P17065,P32389,1
P36057,P17065,0
P36094,P17065,0
P17065,P53112,0
P53886,P17065,0
Q07540,P17065,0
Q08931,P17065,0
P17106,P22216,1
P32389,P17106,1
P32504,P17106,1
P17106,P40969,1
P17106,Q06169,0
Q06675,P17106,1
P17106,Q12154,0
P17106,Q12462,0
P17106,Q92331,0
P39743,P17555,1
P17555,Q02100,0
P17709,P25342,1
P17709,P38272,1
P17709,P39743,1
Q00684,P17709,1
P19262,P20967,1
P19262,P29340,0
P38822,P19262,1
P19262,P39743,1
P40957,P19262,0
P53112,P19262,0
P19262,P80667,0
P19262,Q06410,1
P19262,Q06704,0
P19262,Q12306,1
P19736,P32796,0
P19736,P53129,0
P19736,Q06169,0
P20050,P29340,0
P20050,P32318,0
P20050,P32796,0
P20050,Q05568,0
P20050,Q12462,0
P31111,P20967,0
P20967,P35056,0
P20967,P53633,0
P20967,Q00582,0
P20967,Q06708,0
P21190,P53184,0
P21190,P80667,0
P21190,Q00582,0
Q06410,P21190,0
P53895,P21264,1
P21304,P32908,1
P32523,P21374,1
Q03654,P21374,1
P21374,Q04048,1
Q08601,P21524,1
P21951,P32318,0
P21951,P38272,0
P21951,P53129,0
P21951,Q03860,0
P21951,Q06169,0
P22216,P32797,1
P34730,P22216,1
P40969,P22216,1
P22216,P47037,1
P22804,P28795,0
P22804,P29340,0
P32504,P22804,0
P33419,P22804,0
P22804,P35056,0
P38862,P22804,0
P22804,P53112,0
P22804,P53184,0
P22804,Q03860,1
P22804,Q06169,0
P23337,P47011,1
P24279,P23542,0
P30822,P23542,0
P32318,P23542,0
P32361,P23542,0
P38198,P23542,0
P41543,P23542,0
P47017,P23542,0
P53253,P23542,0
P53886,P23542,0
P54861,P23542,0
Q00684,P23542,0
P32917,P23561,1
P41697,P23561,1
P47017,P23561,1
P24279,P28795,0
P29469,P24279,1
P24279,P53184,0
P24279,P53633,0
P24279,Q12191,0
Q12306,P24279,1
Q12329,P24719,1
P27895,P25293,0
P25293,P29340,0
P25293,P38247,0
P25293,P53178,0
P25293,P80667,0
P25293,Q05568,0
P25293,Q12159,1
P25293,Q12263,1
P32458,P25342,1
P25342,P32468,1
P34730,P25342,1
P25342,Q12263,1
P35056,P25367,0
P50623,P25454,1
Q12306,P25454,1
P26343,P39007,0
P26343,P53112,0
P26343,Q04411,1
P27515,P47115,1
P27515,Q12084,1
Q12306,P27515,1
P27895,P39723,1
P40957,P27895,0
P33419,P28743,1
P30822,P28795,0
P32505,P28795,0
P38198,P28795,0
P28795,P38821,0
P47025,P28795,0
P53253,P28795,0
P61829,P28795,0
P28795,P80667,1
P81449,P28795,0
Q01454,P28795,0
Q03063,P28795,0
P30822,P29340,0
P32908,P29340,0
P35191,P29340,0
P38862,P29340,0
P41695,P29340,0
P47025,P29340,0
P54861,P29340,0
Q05568,P29340,1
Q07540,P29340,0
Q92331,P29340,0
P29469,P53184,0
Q12306,P29469,1
P30771,P39007,0
P30771,P47017,1
P32618,P30822,1
P30822,P38247,0
P30822,P39723,1
P39998,P30822,1
P47129,P30822,1
P30822,P54861,0
P30822,Q12390,1
P30822,Q92331,0
P31111,P53112,0
P54861,P31111,0
Q12306,P31111,1
P31539,P32796,0
P31539,P53093,0
P31539,P53112,0
P31539,P80667,0
P32908,P32318,0
P38910,P32318,0
P53112,P32318,0
P32318,P53184,0
P53633,P32318,0
P54861,P32318,0
Q03954,P32318,0
P32318,Q06169,0
P32318,Q12154,0
Q12346,P32318,0
P32361,P32796,0
P47025,P32361,0
P32361,Q06169,0
P32361,Q12154,0
P32468,P32458,1
P50623,P32458,1
P32458,P54786,1
P32458,Q04921,1
Q12134,P32458,1
Q12263,P32458,1
P32458,Q12329,1
P38272,P32468,1
P38339,P32468,1
P38785,P32468,1
P40460,P32468,1
P32468,Q04477,1
Q12263,P32468,1
P32504,P32796,0
P32505,P53112,0
P32505,P53184,0
P32505,Q12462,0
P32523,Q03654,1
P32523,Q04048,1
P47037,P32618,1
P53253,P32618,1
P32618,Q03954,1
P32618,Q07457,1
P32628,Q02939,1
P32628,Q06169,0
P32628,Q12462,0
P32639,P57743,1
P32829,P32796,0
P32908,P32796,0
P33419,P32796,0
P32796,P35056,1
P35191,P32796,0
P32796,P40202,1
P40957,P32796,0
P46964,P32796,0
P47025,P32796,0
P47037,P32796,0
Q01454,P32796,0
Q02100,P32796,0
Q03063,P32796,0
Q03860,P32796,0
Q03954,P32796,0
Q06704,P32796,0
P32796,Q06708,0
Q12191,P32796,0
Q92331,P32796,0
P32797,Q12306,1
P32829,P46946,1
P32829,P53093,0
P32829,P53184,0
P32829,P53971,1
P32861,P39743,1
P32861,P40316,1
P32861,Q12446,1
P32908,P36094,1
P32908,P38247,0
P32908,P40460,1
P32908,P40957,1
P32908,P47037,1
P32908,P53184,0
P53253,P32908,1
Q03954,P32908,1
Q04477,P32908,1
P32908,Q07457,1
Q12306,P32908,1
P32908,Q92331,0
P32917,P52891,0
P39743,P33338,1
Q12134,P33338,1
P33338,Q12446,1
P33419,P36094,1
P33419,P38272,0
P33419,P38821,0
P38822,P33419,1
P33419,P52891,1
P33419,P53093,0
P33419,P53178,0
Q06410,P33419,1
Q12365,P33419,1
P33420,P38822,1
P38930,P33420,1
P33420,P40460,1
Q06410,P33420,1
P39928,P34730,1
P34730,Q00684,1
Q03898,P34730,1
P35191,P35056,0
P38272,P35056,0
P38523,P35056,0
P39007,P35056,0
P40460,P35056,0
P35056,P40473,0
P47017,P35056,0
P52891,P35056,0
P53112,P35056,1
P35056,P80667,1
Q03898,P35056,0
Q06704,P35056,0
P35191,P38247,0
P38523,P35191,1
P35191,P39743,1
P35191,P40054,1
P57743,P36010,0
Q03063,P36010,0
P36036,Q12159,1
P36057,P53184,0
Q06675,P36057,0
P36068,P38272,1
P40485,P36068,1
P53971,P36068,1
P36094,P53093,0
P36094,P53633,0
P36094,Q06704,0
P53886,P38042,1
P38042,Q12440,1
P38147,P40054,1
P38147,P40316,1
P38147,P47017,1
P38198,P53633,0
P38198,P61829,0
P38198,P80667,0
P38198,Q06708,0
P53093,P38247,0
P38247,Q00582,1
Q03063,P38247,0
Q06169,P38247,0
Q06410,P38247,0
Q12346,P38247,0
P38862,P38272,0
P38272,Q12154,0
P38339,Q05080,1
P38339,Q12446,1
P38523,P53093,0
P38523,Q05580,1
Q06410,P38523,1
P38748,P53253,1
P38785,P54786,1
P38785,Q05080,1
P40089,P38821,0
P53633,P38821,0
P57743,P38821,0
Q00684,P38821,0
Q07540,P38821,0
P39996,P38822,1
P38822,P43605,1
P38822,P53184,1
Q00582,P38822,1
Q04048,P38822,1
Q06704,P38822,1
P38822,Q12154,1
P38822,Q12446,1
P39723,P38853,1
P38862,P53184,0
P38862,Q06169,0
P42935,P38874,1
P38874,Q02884,1
Q02908,P38874,1
P38874,Q03860,0
P38874,Q04868,1
P38874,Q06706,1
P38874,Q12154,0
P38910,Q06169,0
P38930,P43639,1
P38986,Q02100,0
P39007,P41543,1
P39007,P46964,1
P39007,P53112,0
P39007,Q03860,0
Q08931,P39007,0
Q06410,P39081,1
P39081,Q12102,1
Q12159,P39081,1
P39113,P46954,1
P39113,P80667,0
P39113,Q06169,0
P39113,Q12191,0
Q06440,P39723,1
P39928,P39743,1
P40325,P39743,1
P47129,P39743,1
Q12134,P39743,1
P39743,Q12446,1
P52917,P39929,1
P80667,P39929,1
Q12033,P39929,1
P39996,P40582,1
Q12020,P39998,1
Q05580,P40054,1
P40073,Q03790,1
Q05080,P40073,1
P40073,Q12446,1
P40089,P47017,1
P57743,P40089,1
P40089,P80667,0
P40089,Q12462,0
P40161,P53112,0
P40161,Q06704,0
P40161,Q07540,0
P40316,P52891,1
Q00684,P40416,0
P40460,P53129,0
P40460,P53184,0
P40460,P80667,0
Q03954,P40460,1
P40460,Q04477,1
P40582,P53184,0
P53886,P40582,0
Q06410,P40582,0
Q12066,P40582,1
P40957,P53184,0
P40957,Q05568,0
P40963,Q04003,1
P50623,P40969,1
P46964,P41543,1
P41543,P53184,0
P41543,Q06169,0
Q12159,P41543,0
P41543,Q12191,0
P41695,P53178,0
P52891,P41921,1
Q02884,P42935,1
Q02908,P42935,1
P42935,Q04868,1
Q06706,P42935,1
Q92331,P42935,0
P46964,P53112,0
P53886,P46964,0
P46964,P80667,0
P46964,Q03860,0
P46964,Q12462,0
P47017,P53112,0
P57743,P47017,1
P47017,P80667,0
P47017,Q05568,0
P47017,Q06169,0
P47017,Q12462,0
P47025,P53093,0
P47025,P53184,0
P54861,P47025,1
P47025,Q04048,0
P47025,Q06169,0
P47025,Q06704,0
P47025,Q12462,0
P47037,P80667,0
P47037,Q05568,0
Q07457,P47037,1
P47095,Q06410,1
Q03818,P48361,1
P50623,Q12306,1
P52891,P53184,0
Q12033,P52917,1
P54861,P53093,0
Q03898,P53093,0
P54861,P53112,0
P53112,P80667,1
P81449,P53112,0
P53112,Q03790,0
P53112,Q06708,0
P53112,Q12154,0
Q12159,P53112,0
Q12191,P53112,0
P53112,Q12334,1
P80667,P53129,0
Q07540,P53129,0
P53633,P53184,0
P57743,P53184,0
P61829,P53184,0
P53253,P80667,0
P53253,Q00582,0
P53253,Q12462,0
P53253,Q92331,0
P54861,P53633,0
Q03954,P53633,0
P53886,Q05568,0
P53886,Q06169,0
Q12440,P53886,1
P53886,Q92331,0
Q92331,P53895,0
P54861,Q06708,0
P54861,Q12462,0
P57743,Q03860,0
P61829,P80667,0
P61829,Q12462,0
P80667,Q00582,0
Q00684,P80667,0
Q03790,P80667,0
P80667,Q05568,1
Q08931,P80667,0
Q92331,P80667,0
P81449,Q12346,0
Q01454,Q00582,0
Q00684,Q06708,0
Q12329,Q00684,1
Q01454,Q06708,0
Q02100,Q05568,0
Q02884,Q02908,1
Q04868,Q02884,1
Q06706,Q02884,1
Q04868,Q02908,1
Q02908,Q06706,1
Q02939,Q3E7C1,1
Q04048,Q03654,1
Q06410,Q03654,1
Q03790,Q06169,1
Q03790,Q06708,0
Q12306,Q03818,1
Q03898,Q12462,0
Q12263,Q03954,1
Q05080,Q04048,0
Q06706,Q04868,1
Q05080,Q06410,1
Q05080,Q12446,1
Q06675,Q05568,0
Q08931,Q05568,0
Q12346,Q05568,0
Q06708,Q05791,1
Q07540,Q06169,0
Q08931,Q06169,0
Q06169,Q12066,1
Q08581,Q07457,1
Q08601,Q12329,1
Q12191,Q12462,0
Q12446,Q12329,1
Q12446,Q92331,1
