Identifier A,Identifier B,Interaction,negative_source,config_probability,degree_a,degree_b,common_neighbor_count,l3_path_count,shortest_path_distance
P53184,Q03860,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P0C0X0,Q04921,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P40485,Q08581,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P22804,P32504,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P00447,Q08581,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P15442,P32504,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P40151,P48361,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P08964,P26343,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P53895,Q3E7C1,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P25638,Q04003,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P38853,Q04921,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P20967,P26343,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P20050,P40325,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P38748,P54861,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P38853,Q12154,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P38748,Q02100,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P11746,Q03898,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P40151,Q06675,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P25367,Q03898,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P20967,P53895,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P28795,P38853,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P40963,P53184,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P54861,Q12102,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P04387,P32917,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P81449,Q04003,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P81449,Q06675,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,4.0
P47011,P48361,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P08964,P36036,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,4.0
P04386,P47025,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P25367,P40963,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P09201,P39113,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P04386,P41921,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P53617,Q03898,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P07270,Q05791,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P11746,P47115,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P04387,P28795,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P38853,P54861,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P31539,P61829,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P28743,Q06440,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P48361,Q04003,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P20967,P28743,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,4.0
P00812,P38853,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P27895,P40957,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P11746,Q12390,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,4.0
P47025,Q06440,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P25638,P47115,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P40151,Q3E7C1,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P40151,P61829,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,4.0
P22804,P41697,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P38853,Q06704,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P32639,Q05791,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P48361,P53184,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P81449,Q12084,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P40202,Q3E7C1,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P32504,P32505,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P04386,Q03898,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P25367,P47095,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P00927,Q12102,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P32361,P38853,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P00447,P47025,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P41921,P53895,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P17065,Q3E7C1,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P04386,P40957,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P38748,P61829,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P20050,P29340,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P00447,P47115,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P38748,P53184,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P40325,Q08581,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P00447,P22804,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P26343,P32917,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P40963,Q02100,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P31539,Q12365,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P32639,Q12390,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P40485,Q04003,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P40957,P81449,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,4.0
P0C0X0,P32628,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P27895,P38748,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
Q04411,Q12102,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P11746,P38853,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P28743,P47025,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P32361,P40957,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,4.0
P17555,P47025,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P11746,Q08581,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P04387,Q04003,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P15442,P36036,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P07272,P25367,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P0C0X0,P53184,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P25638,P32505,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P17065,P25367,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
Q04411,Q08581,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
Q04003,Q05791,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P25367,Q12084,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P0C0X0,P38853,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,4.0
P08964,P39113,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P32639,Q12084,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P08964,P61829,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P00927,Q02100,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P27895,P53617,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P15442,P40963,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P29340,P47095,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P00927,P28743,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P27895,Q12334,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P32504,P47025,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P31539,P32505,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P48361,Q04921,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P31539,Q12334,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P00447,P15442,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P03962,P39113,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P40202,P47025,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P17065,P32917,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P22804,Q12154,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P15442,Q12154,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P11746,P20050,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P03962,Q12365,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P47011,Q04411,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P32917,P47011,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P17555,P25638,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P41695,Q06675,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,4.0
P11746,P32361,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P38247,P54861,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P08638,P40957,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P81449,Q03860,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P20050,Q12154,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,5.0
P00927,P32639,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P26343,P47115,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P00447,Q12390,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P32505,Q03860,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P08638,Q05791,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P00447,P53184,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P31539,P40202,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P32628,P47025,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P07270,P41697,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P08638,P17555,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,4.0
P11746,P28743,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P32504,Q12390,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P17555,P32628,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P25367,Q12390,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P53895,P81449,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,6.0
P32504,Q05791,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
P32849,P61829,0,topology_cl3,0.0014970059880239522,1.0,1.0,0.0,0.0,-1.0
