Identifier A,Identifier B,Interaction,negative_source,left_partition_size,right_partition_size
P00927,Q00582,0,bipartite_non_edge,169.0,155.0
P00927,Q03654,0,bipartite_non_edge,169.0,155.0
P00927,Q03790,0,bipartite_non_edge,169.0,155.0
P00927,Q03818,0,bipartite_non_edge,169.0,155.0
P00927,Q04003,0,bipartite_non_edge,169.0,155.0
P00927,Q04048,0,bipartite_non_edge,169.0,155.0
P00927,Q12440,0,bipartite_non_edge,169.0,155.0
P02829,P04387,0,bipartite_non_edge,169.0,155.0
P02829,P08964,0,bipartite_non_edge,169.0,155.0
P02829,P09938,0,bipartite_non_edge,169.0,155.0
P02829,P14291,0,bipartite_non_edge,169.0,155.0
P02829,P21264,0,bipartite_non_edge,169.0,155.0
P02829,P22216,0,bipartite_non_edge,169.0,155.0
P02829,P23337,0,bipartite_non_edge,169.0,155.0
P02829,P24279,0,bipartite_non_edge,169.0,155.0
P02829,P25293,0,bipartite_non_edge,169.0,155.0
P02829,P26343,0,bipartite_non_edge,169.0,155.0
P02829,P33419,0,bipartite_non_edge,169.0,155.0
P02829,P39007,0,bipartite_non_edge,169.0,155.0
P02829,P39723,0,bipartite_non_edge,169.0,155.0
P02829,P40957,0,bipartite_non_edge,169.0,155.0
P02829,P41921,0,bipartite_non_edge,169.0,155.0
P02829,P42935,0,bipartite_non_edge,169.0,155.0
P02829,P47011,0,bipartite_non_edge,169.0,155.0
P02829,P47025,0,bipartite_non_edge,169.0,155.0
P02829,P47095,0,bipartite_non_edge,169.0,155.0
P02829,P47115,0,bipartite_non_edge,169.0,155.0
P02829,P52891,0,bipartite_non_edge,169.0,155.0
P02829,P53971,0,bipartite_non_edge,169.0,155.0
P02829,Q03954,0,bipartite_non_edge,169.0,155.0
P02829,Q06704,0,bipartite_non_edge,169.0,155.0
P02829,Q12033,0,bipartite_non_edge,169.0,155.0
P02829,Q3E7C1,0,bipartite_non_edge,169.0,155.0
P02829,Q92331,0,bipartite_non_edge,169.0,155.0
P03962,P04807,0,bipartite_non_edge,169.0,155.0
P03962,P05453,0,bipartite_non_edge,169.0,155.0
P03962,P06700,0,bipartite_non_edge,169.0,155.0
P03962,P08638,0,bipartite_non_edge,169.0,155.0
P03962,P17555,0,bipartite_non_edge,169.0,155.0
P03962,P21264,0,bipartite_non_edge,169.0,155.0
P03962,P21524,0,bipartite_non_edge,169.0,155.0
P03962,P25342,0,bipartite_non_edge,169.0,155.0
P03962,P32468,0,bipartite_non_edge,169.0,155.0
P03962,P32796,0,bipartite_non_edge,169.0,155.0
P03962,P33338,0,bipartite_non_edge,169.0,155.0
P03962,P36068,0,bipartite_non_edge,169.0,155.0
P03962,P39081,0,bipartite_non_edge,169.0,155.0
P03962,P39723,0,bipartite_non_edge,169.0,155.0
P03962,P39998,0,bipartite_non_edge,169.0,155.0
P03962,P40073,0,bipartite_non_edge,169.0,155.0
P03962,P41695,0,bipartite_non_edge,169.0,155.0
P03962,P47011,0,bipartite_non_edge,169.0,155.0
P03962,P53253,0,bipartite_non_edge,169.0,155.0
P03962,P57743,0,bipartite_non_edge,169.0,155.0
P03962,P80667,0,bipartite_non_edge,169.0,155.0
P03962,Q00684,0,bipartite_non_edge,169.0,155.0
P03962,Q04411,0,bipartite_non_edge,169.0,155.0
P03962,Q04921,0,bipartite_non_edge,169.0,155.0
P03962,Q05791,0,bipartite_non_edge,169.0,155.0
P03962,Q12066,0,bipartite_non_edge,169.0,155.0
P03962,Q12102,0,bipartite_non_edge,169.0,155.0
P03962,Q92331,0,bipartite_non_edge,169.0,155.0
P04386,P09798,0,bipartite_non_edge,169.0,155.0
P04386,P10862,0,bipartite_non_edge,169.0,155.0
P04386,P15992,0,bipartite_non_edge,169.0,155.0
P04386,P16474,0,bipartite_non_edge,169.0,155.0
P04386,P16522,0,bipartite_non_edge,169.0,155.0
P04386,P25342,0,bipartite_non_edge,169.0,155.0
P04386,P25454,0,bipartite_non_edge,169.0,155.0
P04386,P27515,0,bipartite_non_edge,169.0,155.0
P04386,P32361,0,bipartite_non_edge,169.0,155.0
P04386,P32628,0,bipartite_non_edge,169.0,155.0
P04386,P32917,0,bipartite_non_edge,169.0,155.0
P04386,P35056,0,bipartite_non_edge,169.0,155.0
P04386,P36036,0,bipartite_non_edge,169.0,155.0
P04386,P39996,0,bipartite_non_edge,169.0,155.0
P04386,P39998,0,bipartite_non_edge,169.0,155.0
P04386,P40969,0,bipartite_non_edge,169.0,155.0
P04386,P41697,0,bipartite_non_edge,169.0,155.0
P04386,P43639,0,bipartite_non_edge,169.0,155.0
P04386,P47037,0,bipartite_non_edge,169.0,155.0
P04386,P47095,0,bipartite_non_edge,169.0,155.0
P04386,P57743,0,bipartite_non_edge,169.0,155.0
P04386,Q02939,0,bipartite_non_edge,169.0,155.0
P04386,Q03898,0,bipartite_non_edge,169.0,155.0
P04386,Q04868,0,bipartite_non_edge,169.0,155.0
P04386,Q05568,0,bipartite_non_edge,169.0,155.0
P04386,Q06410,0,bipartite_non_edge,169.0,155.0
P04386,Q12329,0,bipartite_non_edge,169.0,155.0
P04386,Q12446,0,bipartite_non_edge,169.0,155.0
P04387,P06700,0,bipartite_non_edge,169.0,155.0
P04387,P08638,0,bipartite_non_edge,169.0,155.0
P04387,P14741,0,bipartite_non_edge,169.0,155.0
P04387,P14904,0,bipartite_non_edge,169.0,155.0
P04387,P17106,0,bipartite_non_edge,169.0,155.0
P04387,P24279,0,bipartite_non_edge,169.0,155.0
P04387,P24719,0,bipartite_non_edge,169.0,155.0
P04387,P25454,0,bipartite_non_edge,169.0,155.0
P04387,P29469,0,bipartite_non_edge,169.0,155.0
P04387,P32505,0,bipartite_non_edge,169.0,155.0
P04387,P32618,0,bipartite_non_edge,169.0,155.0
P04387,P33419,0,bipartite_non_edge,169.0,155.0
P04387,P38874,0,bipartite_non_edge,169.0,155.0
P04387,P39081,0,bipartite_non_edge,169.0,155.0
P04387,P39743,0,bipartite_non_edge,169.0,155.0
P04387,P40073,0,bipartite_non_edge,169.0,155.0
P04387,P40460,0,bipartite_non_edge,169.0,155.0
P04387,P41921,0,bipartite_non_edge,169.0,155.0
P04387,P46946,0,bipartite_non_edge,169.0,155.0
P04387,P47025,0,bipartite_non_edge,169.0,155.0
P04387,P80667,0,bipartite_non_edge,169.0,155.0
P04387,Q03818,0,bipartite_non_edge,169.0,155.0
P04387,Q04048,0,bipartite_non_edge,169.0,155.0
P04387,Q12263,0,bipartite_non_edge,169.0,155.0
P04807,P06782,0,bipartite_non_edge,169.0,155.0
P04807,P11075,0,bipartite_non_edge,169.0,155.0
P04807,P14904,0,bipartite_non_edge,169.0,155.0
P04807,P16522,0,bipartite_non_edge,169.0,155.0
P04807,P25454,0,bipartite_non_edge,169.0,155.0
P04807,P26343,0,bipartite_non_edge,169.0,155.0
P04807,P31111,0,bipartite_non_edge,169.0,155.0
P04807,P32618,0,bipartite_non_edge,169.0,155.0
P04807,P32796,0,bipartite_non_edge,169.0,155.0
P04807,P35056,0,bipartite_non_edge,169.0,155.0
P04807,P38272,0,bipartite_non_edge,169.0,155.0
P04807,P39007,0,bipartite_non_edge,169.0,155.0
P04807,P40969,0,bipartite_non_edge,169.0,155.0
P04807,P47017,0,bipartite_non_edge,169.0,155.0
P04807,P50623,0,bipartite_non_edge,169.0,155.0
P04807,P54861,0,bipartite_non_edge,169.0,155.0
P04807,Q05580,0,bipartite_non_edge,169.0,155.0
P04807,Q06440,0,bipartite_non_edge,169.0,155.0
P04807,Q12134,0,bipartite_non_edge,169.0,155.0
P04821,P06782,0,bipartite_non_edge,169.0,155.0
P04821,P06786,0,bipartite_non_edge,169.0,155.0
P04821,P14741,0,bipartite_non_edge,169.0,155.0
P04821,P16474,0,bipartite_non_edge,169.0,155.0
P04821,P21264,0,bipartite_non_edge,169.0,155.0
P04821,P29340,0,bipartite_non_edge,169.0,155.0
P04821,P31539,0,bipartite_non_edge,169.0,155.0
P04821,P32389,0,bipartite_non_edge,169.0,155.0
P04821,P32908,0,bipartite_non_edge,169.0,155.0
P04821,P39723,0,bipartite_non_edge,169.0,155.0
P04821,P40089,0,bipartite_non_edge,169.0,155.0
P04821,P46946,0,bipartite_non_edge,169.0,155.0
P04821,P47017,0,bipartite_non_edge,169.0,155.0
P04821,P47037,0,bipartite_non_edge,169.0,155.0
P04821,P53253,0,bipartite_non_edge,169.0,155.0
P04821,Q00684,0,bipartite_non_edge,169.0,155.0
P04821,Q04048,0,bipartite_non_edge,169.0,155.0
P04821,Q04411,0,bipartite_non_edge,169.0,155.0
P04821,Q12263,0,bipartite_non_edge,169.0,155.0
P04821,Q12334,0,bipartite_non_edge,169.0,155.0
P04821,Q3E7C1,0,bipartite_non_edge,169.0,155.0
P05453,P06700,0,bipartite_non_edge,169.0,155.0
P05453,P17065,0,bipartite_non_edge,169.0,155.0
P05453,P19262,0,bipartite_non_edge,169.0,155.0
P05453,P21264,0,bipartite_non_edge,169.0,155.0
P05453,P21374,0,bipartite_non_edge,169.0,155.0
P05453,P23561,0,bipartite_non_edge,169.0,155.0
P05453,P24279,0,bipartite_non_edge,169.0,155.0
P05453,P25367,0,bipartite_non_edge,169.0,155.0
P05453,P27895,0,bipartite_non_edge,169.0,155.0
P05453,P28743,0,bipartite_non_edge,169.0,155.0
P05453,P28795,0,bipartite_non_edge,169.0,155.0
P05453,P29340,0,bipartite_non_edge,169.0,155.0
P05453,P31111,0,bipartite_non_edge,169.0,155.0
P05453,P32505,0,bipartite_non_edge,169.0,155.0
P05453,P32639,0,bipartite_non_edge,169.0,155.0
P05453,P32829,0,bipartite_non_edge,169.0,155.0
P05453,P32849,0,bipartite_non_edge,169.0,155.0
P05453,P35191,0,bipartite_non_edge,169.0,155.0
P05453,P36094,0,bipartite_non_edge,169.0,155.0
P05453,P38042,0,bipartite_non_edge,169.0,155.0
P05453,P38247,0,bipartite_non_edge,169.0,155.0
P05453,P38339,0,bipartite_non_edge,169.0,155.0
P05453,P39928,0,bipartite_non_edge,169.0,155.0
P05453,P39998,0,bipartite_non_edge,169.0,155.0
P05453,P40073,0,bipartite_non_edge,169.0,155.0
P05453,P40325,0,bipartite_non_edge,169.0,155.0
P05453,P40963,0,bipartite_non_edge,169.0,155.0
P05453,P40969,0,bipartite_non_edge,169.0,155.0
P05453,P41695,0,bipartite_non_edge,169.0,155.0
P05453,P43605,0,bipartite_non_edge,169.0,155.0
P05453,P52917,0,bipartite_non_edge,169.0,155.0
P05453,P54861,0,bipartite_non_edge,169.0,155.0
P05453,P57743,0,bipartite_non_edge,169.0,155.0
P05453,Q00684,0,bipartite_non_edge,169.0,155.0
P05453,Q03654,0,bipartite_non_edge,169.0,155.0
P05453,Q04048,0,bipartite_non_edge,169.0,155.0
P05453,Q04477,0,bipartite_non_edge,169.0,155.0
P05453,Q05580,0,bipartite_non_edge,169.0,155.0
P05453,Q06706,0,bipartite_non_edge,169.0,155.0
P05453,Q12134,0,bipartite_non_edge,169.0,155.0
P05453,Q12334,0,bipartite_non_edge,169.0,155.0
P06700,P07272,0,bipartite_non_edge,169.0,155.0
P06700,P08638,0,bipartite_non_edge,169.0,155.0
P06700,P14904,0,bipartite_non_edge,169.0,155.0
P06700,P16474,0,bipartite_non_edge,169.0,155.0
P06700,P17106,0,bipartite_non_edge,169.0,155.0
P06700,P17709,0,bipartite_non_edge,169.0,155.0
P06700,P22804,0,bipartite_non_edge,169.0,155.0
P06700,P23561,0,bipartite_non_edge,169.0,155.0
P06700,P24719,0,bipartite_non_edge,169.0,155.0
P06700,P25293,0,bipartite_non_edge,169.0,155.0
P06700,P25454,0,bipartite_non_edge,169.0,155.0
P06700,P27515,0,bipartite_non_edge,169.0,155.0
P06700,P29340,0,bipartite_non_edge,169.0,155.0
P06700,P29469,0,bipartite_non_edge,169.0,155.0
P06700,P30822,0,bipartite_non_edge,169.0,155.0
P06700,P31111,0,bipartite_non_edge,169.0,155.0
P06700,P32797,0,bipartite_non_edge,169.0,155.0
P06700,P39081,0,bipartite_non_edge,169.0,155.0
P06700,P39928,0,bipartite_non_edge,169.0,155.0
P06700,P39929,0,bipartite_non_edge,169.0,155.0
P06700,P39998,0,bipartite_non_edge,169.0,155.0
P06700,P40325,0,bipartite_non_edge,169.0,155.0
P06700,P46954,0,bipartite_non_edge,169.0,155.0
P06700,P47011,0,bipartite_non_edge,169.0,155.0
P06700,P47037,0,bipartite_non_edge,169.0,155.0
P06700,P47095,0,bipartite_non_edge,169.0,155.0
P06700,P47129,0,bipartite_non_edge,169.0,155.0
P06700,P53184,0,bipartite_non_edge,169.0,155.0
P06700,P53895,0,bipartite_non_edge,169.0,155.0
P06700,Q02100,0,bipartite_non_edge,169.0,155.0
P06700,Q03818,0,bipartite_non_edge,169.0,155.0
P06700,Q12066,0,bipartite_non_edge,169.0,155.0
P06700,Q12263,0,bipartite_non_edge,169.0,155.0
P06700,Q12306,0,bipartite_non_edge,169.0,155.0
P06700,Q12390,0,bipartite_non_edge,169.0,155.0
P06700,Q92331,0,bipartite_non_edge,169.0,155.0
P06701,P10862,0,bipartite_non_edge,169.0,155.0
P06701,P11075,0,bipartite_non_edge,169.0,155.0
P06701,P17106,0,bipartite_non_edge,169.0,155.0
P06701,P20050,0,bipartite_non_edge,169.0,155.0
P06701,P23561,0,bipartite_non_edge,169.0,155.0
P06701,P24279,0,bipartite_non_edge,169.0,155.0
P06701,P24719,0,bipartite_non_edge,169.0,155.0
P06701,P27895,0,bipartite_non_edge,169.0,155.0
P06701,P30822,0,bipartite_non_edge,169.0,155.0
