Protein Identifier,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,PSSM_A,PSSM_R,PSSM_N,PSSM_D,PSSM_C,PSSM_Q,PSSM_E,PSSM_G,PSSM_H,PSSM_I,PSSM_L,PSSM_K,PSSM_M,PSSM_F,PSSM_P,PSSM_S,PSSM_T,PSSM_W,PSSM_Y,PSSM_V
P04821,0.04657016991818754,0.04153555695405916,0.08558842039018251,0.05852737570799245,0.007551919446192574,0.028319697923222153,0.0591567023285085,0.03146633102580239,0.02076777847702958,0.06419131529263687,0.08999370673379484,0.0723725613593455,0.019509125235997484,0.04657016991818754,0.04090623033354311,0.1340465701699182,0.06733794839521712,0.007551919446192574,0.030837004405286344,0.04719949653870359,-0.6028949024543738,-0.9093769666456891,-0.34550031466331027,-0.8917558212712398,-1.8993077407174324,-0.5191944619257395,-0.526117054751416,-1.617369414726243,-1.0516047828823158,-1.1925739458779105,-1.1246066708621774,-0.4977973568281938,-0.7016991818753934,-1.4940213971050975,-1.4663310258023914,0.025173064820641914,-0.2857142857142857,-2.4543738200125866,-1.2580239144115797,-1.0
P05373,0.09941520467836257,0.06140350877192982,0.038011695906432746,0.07017543859649122,0.02631578947368421,0.017543859649122806,0.05555555555555555,0.07602339181286549,0.02631578947368421,0.07602339181286549,0.09941520467836257,0.043859649122807015,0.017543859649122806,0.04093567251461988,0.05847953216374269,0.05555555555555555,0.038011695906432746,0.005847953216374269,0.04093567251461988,0.05263157894736842,-0.4269005847953216,-1.0935672514619883,-0.9619883040935673,-1.1783625730994152,-1.6754385964912282,-0.8304093567251462,-0.8450292397660819,-1.4649122807017543,-1.2339181286549707,-1.0730994152046784,-1.0555555555555556,-0.8801169590643275,-0.7514619883040936,-1.4649122807017543,-1.4298245614035088,-0.4298245614035088,-0.6608187134502924,-2.3976608187134505,-1.239766081871345,-0.847953216374269
P05453,0.06277372262773723,0.026277372262773723,0.06569343065693431,0.043795620437956206,0.0072992700729927005,0.07737226277372262,0.08321167883211679,0.08759124087591241,0.01897810218978102,0.04671532846715328,0.051094890510948905,0.09635036496350365,0.027737226277372264,0.02335766423357664,0.043795620437956206,0.051094890510948905,0.05693430656934306,0.00583941605839416,0.051094890510948905,0.072992700729927,-0.5737226277372263,-0.8204379562043795,-0.4905109489051095,-0.9021897810218978,-2.113868613138686,-0.20583941605839415,-0.29781021897810217,-1.2744525547445256,-0.9985401459854014,-1.4788321167883212,-1.4262773722627737,-0.3343065693430657,-0.8145985401459854,-1.764963503649635,-1.3489051094890512,-0.24233576642335766,-0.5416058394160584,-2.367883211678832,-1.2233576642335766,-1.018978102189781
P05986,0.03768844221105527,0.04271356783919598,0.06030150753768844,0.05778894472361809,0.010050251256281407,0.03768844221105527,0.0728643216080402,0.05778894472361809,0.02763819095477387,0.06281407035175879,0.08793969849246232,0.07035175879396985,0.02763819095477387,0.05025125628140704,0.05778894472361809,0.06030150753768844,0.05778894472361809,0.01256281407035176,0.052763819095477386,0.05527638190954774,-0.7839195979899497,-0.992462311557789,-0.6934673366834171,-1.0577889447236182,-2.020100502512563,-0.5552763819095478,-0.5954773869346733,-1.6608040201005025,-1.0025125628140703,-1.2085427135678393,-1.135678391959799,-0.6331658291457286,-0.6959798994974874,-1.3718592964824121,-1.4246231155778895,-0.42462311557788945,-0.5804020100502513,-2.201005025125628,-1.015075376884422,-0.9623115577889447
P06633,0.10909090909090909,0.045454545454545456,0.02727272727272727,0.05,0.01818181818181818,0.031818181818181815,0.08181818181818182,0.07727272727272727,0.05454545454545454,0.07272727272727272,0.09090909090909091,0.05454545454545454,0.01818181818181818,0.03636363636363636,0.031818181818181815,0.06818181818181818,0.05,0.004545454545454545,0.004545454545454545,0.07272727272727272,-0.2818181818181818,-1.0,-0.8818181818181818,-1.1363636363636365,-1.7454545454545454,-0.6454545454545455,-0.5954545454545455,-1.4,-1.0818181818181818,-1.0636363636363637,-1.0681818181818181,-0.7227272727272728,-0.7090909090909091,-1.6136363636363635,-1.5363636363636364,-0.2772727272727273,-0.5318181818181819,-2.518181818181818,-1.4136363636363636,-0.7545454545454545
P06700,0.051601423487544484,0.033807829181494664,0.06227758007117438,0.060498220640569395,0.019572953736654804,0.030249110320284697,0.046263345195729534,0.04804270462633452,0.030249110320284697,0.07295373665480427,0.09430604982206406,0.08718861209964412,0.023131672597864767,0.03914590747330961,0.06227758007117438,0.07473309608540925,0.05338078291814947,0.005338078291814947,0.03914590747330961,0.06583629893238434,-0.6476868327402135,-1.0462633451957295,-0.7099644128113879,-1.112099644128114,-1.804270462633452,-0.6637010676156584,-0.7330960854092526,-1.699288256227758,-1.1245551601423487,-1.0587188612099645,-1.0284697508896796,-0.6067615658362989,-0.6494661921708185,-1.491103202846975,-1.3505338078291815,-0.3416370106761566,-0.5124555160142349,-2.4359430604982206,-1.1939501779359432,-0.8202846975088968
P06701,0.0408997955010225,0.041922290388548056,0.06646216768916155,0.05725971370143149,0.007157464212678937,0.03578732106339468,0.09100204498977506,0.041922290388548056,0.013292433537832311,0.08895705521472393,0.08282208588957055,0.09713701431492842,0.022494887525562373,0.03783231083844581,0.03885480572597137,0.09406952965235174,0.04805725971370143,0.009202453987730062,0.024539877300613498,0.06032719836400818,-0.6676891615541922,-0.8670756646216768,-0.558282208588957,-0.9049079754601227,-2.0173824130879345,-0.4427402862985685,-0.37321063394683024,-1.7004089979550103,-1.1850715746421268,-1.1042944785276074,-1.0879345603271984,-0.37321063394683024,-0.6523517382413088,-1.5940695296523517,-1.483640081799591,-0.2085889570552147,-0.48261758691206547,-2.485685071574642,-1.3476482617586911,-0.8599182004089979
P06778,0.07430997876857749,0.055201698513800426,0.07006369426751592,0.07430997876857749,0.004246284501061571,0.044585987261146494,0.06157112526539278,0.05307855626326964,0.014861995753715499,0.04670912951167728,0.055201698513800426,0.08492569002123142,0.021231422505307854,0.03821656050955414,0.06369426751592357,0.07218683651804671,0.08067940552016985,0.004246284501061571,0.021231422505307854,0.059447983014861996,-0.5138004246284501,-0.7515923566878981,-0.40764331210191085,-0.7282377919320594,-2.05307855626327,-0.3651804670912951,-0.3481953290870488,-1.4161358811040339,-1.129511677282378,-1.4607218683651804,-1.4267515923566878,-0.346072186836518,-0.8768577494692145,-1.8259023354564756,-1.1464968152866242,-0.09978768577494693,-0.29936305732484075,-2.59447983014862,-1.505307855626327,-1.078556263269639
P06782,0.052132701421800945,0.03475513428120063,0.0631911532385466,0.06477093206951026,0.00631911532385466,0.037914691943127965,0.06635071090047394,0.045813586097946286,0.04897314375987362,0.07424960505529225,0.08688783570300158,0.07582938388625593,0.030015797788309637,0.0315955766192733,0.04739336492890995,0.09320695102685624,0.04739336492890995,0.011058451816745656,0.036334913112164295,0.045813586097946286,-0.674565560821485,-0.9289099526066351,-0.5244865718799369,-0.919431279620853,-2.0,-0.4660347551342812,-0.48657187993680884,-1.6240126382306477,-0.8451816745655608,-1.2243285939968405,-1.1658767772511849,-0.5371248025276462,-0.6966824644549763,-1.5387045813586098,-1.4249605055292258,-0.21484992101105846,-0.5418641390205371,-2.3791469194312795,-1.1579778830963665,-0.9984202211690363
P06786,0.04551820728291316,0.04201680672268908,0.056022408963585436,0.06372549019607843,0.0063025210084033615,0.0350140056022409,0.09313725490196079,0.0546218487394958,0.01610644257703081,0.08123249299719888,0.08053221288515407,0.11134453781512606,0.0196078431372549,0.036414565826330535,0.0392156862745098,0.06582633053221289,0.05812324929971989,0.01050420168067227,0.04201680672268908,0.042717086834733894,-0.7142857142857143,-0.8130252100840336,-0.5945378151260504,-0.8788515406162465,-2.09593837535014,-0.41876750700280113,-0.33753501400560226,-1.6351540616246498,-1.0959383753501402,-1.2696078431372548,-1.2016806722689075,-0.3165266106442577,-0.7626050420168067,-1.5798319327731092,-1.4782913165266107,-0.2976190476190476,-0.5350140056022409,-2.36624649859944,-1.2317927170868348,-0.9880952380952381
P06843,0.04804804804804805,0.08408408408408409,0.04504504504504504,0.07807807807807808,0.0,0.03003003003003003,0.11711711711711711,0.057057057057057055,0.015015015015015015,0.03303303303303303,0.06606606606606606,0.15015015015015015,0.02702702702702703,0.024024024024024024,0.06006006006006006,0.09009009009009009,0.018018018018018018,0.006006006006006006,0.024024024024024024,0.02702702702702703,-0.6756756756756757,-0.2732732732732733,-0.33933933933933935,-0.5105105105105106,-2.3963963963963963,-0.015015015015015015,0.16816816816816818,-1.3993993993993994,-0.93993993993994,-1.882882882882883,-1.6516516516516517,0.2822822822822823,-0.972972972972973,-2.057057057057057,-1.1111111111111112,-0.08108108108108109,-0.7177177177177178,-2.6426426426426426,-1.5915915915915917,-1.4984984984984986
P07270,0.08333333333333333,0.057692307692307696,0.060897435897435896,0.057692307692307696,0.003205128205128205,0.03205128205128205,0.0641025641025641,0.038461538461538464,0.041666666666666664,0.035256410256410256,0.07051282051282051,0.0641025641025641,0.016025641025641024,0.016025641025641024,0.07371794871794872,0.1282051282051282,0.07051282051282051,0.00641025641025641,0.01282051282051282,0.0673076923076923,-0.34935897435897434,-0.7403846153846154,-0.3814102564102564,-0.7948717948717948,-1.9647435897435896,-0.358974358974359,-0.3301282051282051,-1.4166666666666667,-0.9519230769230769,-1.455128205128205,-1.4006410256410255,-0.3717948717948718,-0.8717948717948718,-1.9583333333333333,-1.0032051282051282,0.11217948717948718,-0.22435897435897437,-2.6858974358974357,-1.560897435897436,-1.0833333333333333
P07272,0.049778761061946904,0.049778761061946904,0.06415929203539823,0.06084070796460177,0.017699115044247787,0.02654867256637168,0.059734513274336286,0.046460176991150445,0.012168141592920354,0.06415929203539823,0.07853982300884955,0.07079646017699115,0.024336283185840708,0.0586283185840708,0.046460176991150445,0.10176991150442478,0.059734513274336286,0.011061946902654867,0.03982300884955752,0.05752212389380531,-0.6238938053097345,-0.9900442477876106,-0.6349557522123894,-1.0309734513274336,-1.8163716814159292,-0.6316371681415929,-0.6559734513274337,-1.6194690265486726,-1.1803097345132743,-1.1504424778761062,-1.1150442477876106,-0.6128318584070797,-0.6869469026548672,-1.366150442477876,-1.4922566371681416,-0.2002212389380531,-0.43473451327433627,-2.293141592920354,-1.1581858407079646,-0.9347345132743363
P08524,0.07954545454545454,0.03125,0.036931818181818184,0.06818181818181818,0.017045454545454544,0.03977272727272727,0.08806818181818182,0.045454545454545456,0.014204545454545454,0.06534090909090909,0.10511363636363637,0.09943181818181818,0.019886363636363636,0.045454545454545456,0.02556818181818182,0.05113636363636364,0.04261363636363636,0.011363636363636364,0.056818181818181816,0.056818181818181816,-0.5823863636363636,-0.9886363636363636,-0.9232954545454546,-1.0767045454545454,-1.8494318181818181,-0.5198863636363636,-0.5,-1.7698863636363635,-1.1818181818181819,-1.0625,-0.9630681818181818,-0.5085227272727273,-0.6278409090909091,-1.3267045454545454,-1.6590909090909092,-0.4375,-0.6420454545454546,-2.2017045454545454,-1.0113636363636365,-0.8011363636363636
P08536,0.060665362035225046,0.06262230919765166,0.0410958904109589,0.07045009784735812,0.0019569471624266144,0.04500978473581213,0.06262230919765166,0.06653620352250489,0.0273972602739726,0.07632093933463796,0.10176125244618395,0.043052837573385516,0.009784735812133072,0.043052837573385516,0.05870841487279843,0.06262230919765166,0.046966731898238745,0.011741682974559686,0.03718199608610567,0.07045009784735812,-0.6281800391389433,-1.015655577299413,-0.8532289628180039,-1.0704500978473581,-2.0293542074363993,-0.6125244618395304,-0.6536203522504892,-1.5870841487279843,-1.1448140900195696,-1.076320939334638,-1.0645792563600782,-0.776908023483366,-0.7181996086105675,-1.4696673189823874,-1.4070450097847358,-0.45401174168297453,-0.6066536203522505,-2.3385518590998045,-1.1859099804305284,-0.8434442270058709
P08638,0.05756207674943566,0.04966139954853273,0.06772009029345373,0.046275395033860044,0.01580135440180587,0.03724604966139955,0.07900677200902935,0.034988713318284424,0.016930022573363433,0.05981941309255079,0.08803611738148984,0.060948081264108354,0.025959367945823927,0.03837471783295711,0.04401805869074492,0.1072234762979684,0.06772009029345373,0.012415349887133182,0.029345372460496615,0.060948081264108354,-0.5417607223476298,-0.8984198645598194,-0.5756207674943566,-1.028216704288939,-1.817155756207675,-0.4785553047404063,-0.5079006772009029,-1.674943566591422,-1.1501128668171559,-1.1433408577878104,-1.0688487584650113,-0.5440180586907449,-0.6331828442437923,-1.5474040632054176,-1.4424379232505644,-0.12076749435665914,-0.32505643340857787,-2.371331828442438,-1.2799097065462754,-0.8871331828442438
P08640,0.06364301389904901,0.001463057790782736,0.026335040234089245,0.010241404535479151,0.014630577907827359,0.014630577907827359,0.05047549378200439,0.03291880029261156,0.0036576444769568397,0.023408924652523776,0.02121433796634967,0.021945866861741038,0.0036576444769568397,0.013167520117044623,0.10460863204096561,0.2538405267008047,0.24725676664228238,0.005852231163130944,0.016825164594001463,0.07022677395757132,0.10899780541331383,-1.2560351133869787,-0.40307242136064375,-0.8858814923189466,-1.4089246525237746,-0.6488661302121433,-0.5881492318946598,-1.246525237746891,-1.5142648134601318,-1.3489392831016824,-1.4564740307242137,-0.7088514996342355,-0.9707388441843453,-1.989758595464521,-0.5106071689831748,0.9173372348207754,1.0790051207022677,-2.580833942940746,-1.7593269934162399,-0.8010241404535479
P08964,0.037863070539419084,0.04304979253112033,0.0783195020746888,0.05549792531120332,0.007261410788381743,0.05705394190871369,0.10580912863070539,0.026970954356846474,0.016078838174273857,0.06898340248962656,0.1187759336099585,0.1078838174273859,0.014522821576763486,0.03163900414937759,0.016597510373443983,0.09439834024896265,0.0487551867219917,0.005705394190871369,0.029564315352697094,0.035269709543568464,-0.7261410788381742,-0.6488589211618258,-0.3698132780082988,-0.8148340248962656,-2.0767634854771786,-0.18205394190871368,-0.15819502074688796,-1.8013485477178424,-1.0150414937759336,-1.2442946058091287,-1.0425311203319503,-0.1628630705394191,-0.6410788381742739,-1.633817427385892,-1.6426348547717842,-0.14056016597510373,-0.47717842323651455,-2.492219917012448,-1.2930497925311204,-1.0274896265560165
P09201,0.06609195402298851,0.04310344827586207,0.05459770114942529,0.06896551724137931,0.014367816091954023,0.031609195402298854,0.04597701149425287,0.08620689655172414,0.022988505747126436,0.07183908045977011,0.09770114942528736,0.05172413793103448,0.020114942528735632,0.05747126436781609,0.04310344827586207,0.06896551724137931,0.0603448275862069,0.005747126436781609,0.02586206896551724,0.06321839080459771,-0.5488505747126436,-1.146551724137931,-0.7586206896551724,-1.0948275862068966,-1.8218390804597702,-0.7873563218390804,-0.8333333333333334,-1.382183908045977,-1.2614942528735633,-1.0603448275862069,-1.0517241379310345,-0.853448275862069,-0.7040229885057471,-1.396551724137931,-1.5545977011494252,-0.33620689655172414,-0.514367816091954,-2.3735632183908044,-1.278735632183908,-0.8390804597701149
P09798,0.075,0.036904761904761905,0.09285714285714286,0.06547619047619048,0.01904761904761905,0.03571428571428571,0.05238095238095238,0.03214285714285714,0.02023809523809524,0.04285714285714286,0.11071428571428571,0.07380952380952381,0.02619047619047619,0.04047619047619048,0.03214285714285714,0.09166666666666666,0.05952380952380952,0.007142857142857143,0.04285714285714286,0.04285714285714286,-0.5642857142857143,-0.9083333333333333,-0.4142857142857143,-0.9654761904761905,-1.7607142857142857,-0.5083333333333333,-0.5964285714285714,-1.6369047619047619,-1.0416666666666667,-1.2107142857142856,-1.0464285714285715,-0.5333333333333333,-0.655952380952381,-1.4714285714285715,-1.5678571428571428,-0.12142857142857143,-0.39166666666666666,-2.3845238095238095,-1.1738095238095239,-1.0011904761904762
P09938,0.08771929824561403,0.03759398496240601,0.05764411027568922,0.05764411027568922,0.005012531328320802,0.022556390977443608,0.11278195488721804,0.03508771929824561,0.02506265664160401,0.06015037593984962,0.09022556390977443,0.08771929824561403,0.02756892230576441,0.07518796992481203,0.03007518796992481,0.06265664160401002,0.03508771929824561,0.015037593984962405,0.02756892230576441,0.047619047619047616,-0.5864661654135338,-0.9172932330827067,-0.7493734335839599,-0.9849624060150376,-2.025062656641604,-0.5137844611528822,-0.3583959899749373,-1.7293233082706767,-1.0401002506265664,-1.167919799498747,-1.0701754385964912,-0.48120300751879697,-0.6616541353383458,-1.2581453634085213,-1.6265664160401003,-0.3408521303258145,-0.6491228070175439,-2.2280701754385963,-1.0902255639097744,-0.9348370927318296
P0C0X0,0.029850746268656716,0.14925373134328357,0.029850746268656716,0.04477611940298507,0.0,0.014925373134328358,0.08955223880597014,0.07462686567164178,0.0,0.04477611940298507,0.08955223880597014,0.05970149253731343,0.029850746268656716,0.014925373134328358,0.029850746268656716,0.05970149253731343,0.08955223880597014,0.0,0.0,0.14925373134328357,-0.5074626865671642,-0.43283582089552236,-0.7910447761194029,-1.208955223880597,-2.0597014925373136,-0.4925373134328358,-0.47761194029850745,-1.5820895522388059,-1.507462686567164,-0.9552238805970149,-0.9552238805970149,-0.3283582089552239,-0.5223880597014925,-1.9253731343283582,-1.507462686567164,-0.417910447761194,-0.22388059701492538,-2.716417910447761,-1.7462686567164178,-0.5671641791044776
P10862,0.030800821355236138,0.0513347022587269,0.06365503080082136,0.06365503080082136,0.024640657084188913,0.045174537987679675,0.06981519507186858,0.03696098562628337,0.022587268993839837,0.045174537987679675,0.0944558521560575,0.08418891170431211,0.03285420944558522,0.03490759753593429,0.053388090349075976,0.12525667351129363,0.059548254620123205,0.008213552361396304,0.01642710472279261,0.03696098562628337,-0.6550308008213552,-0.757700205338809,-0.41478439425051333,-0.8193018480492813,-1.8336755646817249,-0.3264887063655031,-0.3860369609856263,-1.626283367556468,-1.0780287474332648,-1.4024640657084189,-1.219712525667351,-0.3326488706365503,-0.6858316221765913,-1.731006160164271,-1.3080082135523614,-0.01026694045174538,-0.3798767967145791,-2.4948665297741273,-1.4537987679671458,-1.160164271047228
P11075,0.057242409158785465,0.042309606769537086,0.06570433051269288,0.07565953210552513,0.012941762070681932,0.042309606769537086,0.08710801393728224,0.03434544549527128,0.016923842707814832,0.06371329019412643,0.10004977600796416,0.05774016923842708,0.019412643106022896,0.04728720756595321,0.030363364858138377,0.10253857640617223,0.05774016923842708,0.007466401194624191,0.02140368342458935,0.05774016923842708,-0.5878546540567446,-0.9586859133897462,-0.5425584868093579,-0.7999004479840717,-1.8815331010452963,-0.45196615231458437,-0.3892483822797412,-1.6849178695868592,-1.1557989049278248,-1.120955699352912,-1.0701841712294673,-0.5759084121453459,-0.670980587356894,-1.5171727227476357,-1.5540069686411149,-0.13389746142359382,-0.39522150323544053,-2.467894474863116,-1.3305126928820308,-0.90741662518666
P11746,0.05244755244755245,0.027972027972027972,0.055944055944055944,0.055944055944055944,0.0034965034965034965,0.2692307692307692,0.06293706293706294,0.05244755244755245,0.03496503496503497,0.03496503496503497,0.05944055944055944,0.038461538461538464,0.02097902097902098,0.024475524475524476,0.06643356643356643,0.045454545454545456,0.04195804195804196,0.0,0.017482517482517484,0.03496503496503497,-0.7027972027972028,-0.47202797202797203,-0.3146853146853147,-0.5244755244755245,-2.3461538461538463,0.8776223776223776,0.2202797202797203,-1.506993006993007,-0.6608391608391608,-1.867132867132867,-1.5874125874125875,-0.2097902097902098,-0.6993006993006993,-2.111888111888112,-1.0,-0.16433566433566432,-0.6433566433566433,-2.4895104895104896,-1.3356643356643356,-1.367132867132867
