Protein Identifier,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,VS111,VS211,VS311,VS411,VS511,VS611,VS711,VS121,VS221,VS321,VS421,VS521,VS621,VS721,VS131,VS231,VS331,VS431,VS531,VS631,VS731,VS141,VS241,VS341,VS441,VS541,VS641,VS741,VS151,VS251,VS351,VS451,VS551,VS651,VS751,VS161,VS261,VS361,VS461,VS561,VS661,VS761,VS171,VS271,VS371,VS471,VS571,VS671,VS771,VS112,VS212,VS312,VS412,VS512,VS612,VS712,VS122,VS222,VS322,VS422,VS522,VS622,VS722,VS132,VS232,VS332,VS432,VS532,VS632,VS732,VS142,VS242,VS342,VS442,VS542,VS642,VS742,VS152,VS252,VS352,VS452,VS552,VS652,VS752,VS162,VS262,VS362,VS462,VS562,VS662,VS762,VS172,VS272,VS372,VS472,VS572,VS672,VS772,VS113,VS213,VS313,VS413,VS513,VS613,VS713,VS123,VS223,VS323,VS423,VS523,VS623,VS723,VS133,VS233,VS333,VS433,VS533,VS633,VS733,VS143,VS243,VS343,VS443,VS543,VS643,VS743,VS153,VS253,VS353,VS453,VS553,VS653,VS753,VS163,VS263,VS363,VS463,VS563,VS663,VS763,VS173,VS273,VS373,VS473,VS573,VS673,VS773,VS114,VS214,VS314,VS414,VS514,VS614,VS714,VS124,VS224,VS324,VS424,VS524,VS624,VS724,VS134,VS234,VS334,VS434,VS534,VS634,VS734,VS144,VS244,VS344,VS444,VS544,VS644,VS744,VS154,VS254,VS354,VS454,VS554,VS654,VS754,VS164,VS264,VS364,VS464,VS564,VS664,VS764,VS174,VS274,VS374,VS474,VS574,VS674,VS774,VS115,VS215,VS315,VS415,VS515,VS615,VS715,VS125,VS225,VS325,VS425,VS525,VS625,VS725,VS135,VS235,VS335,VS435,VS535,VS635,VS735,VS145,VS245,VS345,VS445,VS545,VS645,VS745,VS155,VS255,VS355,VS455,VS555,VS655,VS755,VS165,VS265,VS365,VS465,VS565,VS665,VS765,VS175,VS275,VS375,VS475,VS575,VS675,VS775,VS116,VS216,VS316,VS416,VS516,VS616,VS716,VS126,VS226,VS326,VS426,VS526,VS626,VS726,VS136,VS236,VS336,VS436,VS536,VS636,VS736,VS146,VS246,VS346,VS446,VS546,VS646,VS746,VS156,VS256,VS356,VS456,VS556,VS656,VS756,VS166,VS266,VS366,VS466,VS566,VS666,VS766,VS176,VS276,VS376,VS476,VS576,VS676,VS776,VS117,VS217,VS317,VS417,VS517,VS617,VS717,VS127,VS227,VS327,VS427,VS527,VS627,VS727,VS137,VS237,VS337,VS437,VS537,VS637,VS737,VS147,VS247,VS347,VS447,VS547,VS647,VS747,VS157,VS257,VS357,VS457,VS557,VS657,VS757,VS167,VS267,VS367,VS467,VS567,VS667,VS767,VS177,VS277,VS377,VS477,VS577,VS677,VS777,PSSM_A,PSSM_R,PSSM_N,PSSM_D,PSSM_C,PSSM_Q,PSSM_E,PSSM_G,PSSM_H,PSSM_I,PSSM_L,PSSM_K,PSSM_M,PSSM_F,PSSM_P,PSSM_S,PSSM_T,PSSM_W,PSSM_Y,PSSM_V
P27824,0.057432432432432436,0.033783783783783786,0.033783783783783786,0.11317567567567567,0.013513513513513514,0.02027027027027027,0.11824324324324324,0.057432432432432436,0.015202702702702704,0.052364864864864864,0.06418918918918919,0.0929054054054054,0.02027027027027027,0.033783783783783786,0.08783783783783784,0.04054054054054054,0.04054054054054054,0.02702702702702703,0.02533783783783784,0.052364864864864864,4,1,2,1,1,4,2,7,7,2,1,2,2,0,3,5,2,2,1,2,1,1,1,1,2,1,1,0,0,2,4,0,1,3,0,3,6,6,4,0,7,0,1,1,0,0,1,1,0,1,8,6,4,2,5,0,4,8,5,5,8,5,0,3,2,6,2,3,1,1,6,7,1,0,2,4,0,4,1,5,4,6,4,0,2,8,1,0,1,6,0,0,0,0,0,0,0,0,3,1,2,0,2,2,0,4,6,4,3,0,0,0,1,5,2,2,2,2,0,3,2,0,0,1,2,0,1,3,1,2,2,1,0,1,3,1,1,1,5,1,0,1,0,0,0,0,1,3,3,2,1,0,5,0,3,4,0,4,3,2,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,4,2,0,1,1,2,0,2,5,0,0,0,4,0,0,0,0,0,0,0,0,1,2,3,1,3,3,0,1,2,2,2,4,1,0,1,3,2,1,0,6,0,0,3,0,1,4,0,0,3,3,1,1,0,4,0,3,2,1,1,1,9,0,0,0,0,0,0,0,0,3,5,1,0,2,7,2,7,5,5,5,7,8,0,1,2,1,1,3,2,0,3,2,1,0,1,4,0,1,0,2,0,2,2,0,9,12,2,5,3,19,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.6023688663282571,-0.9035532994923858,-0.6818950930626058,-0.34686971235194586,-2.230118443316413,-0.41455160744500846,0.021996615905245348,-1.3231810490693738,-1.1370558375634519,-1.2774957698815568,-1.380710659898477,-0.1658206429780034,-1.1235194585448391,-1.5296108291032149,-0.7834179357021996,-0.3604060913705584,-0.5329949238578681,-2.0609137055837565,-1.2622673434856175,-1.0913705583756346
P27986,0.052486187845303865,0.058011049723756904,0.052486187845303865,0.058011049723756904,0.008287292817679558,0.05110497237569061,0.0925414364640884,0.04419889502762431,0.020718232044198894,0.052486187845303865,0.10497237569060773,0.07596685082872928,0.015193370165745856,0.026243093922651933,0.052486187845303865,0.07044198895027624,0.05110497237569061,0.011049723756906077,0.05110497237569061,0.05110497237569061,3,3,4,3,2,1,0,5,5,9,6,1,4,0,3,3,5,0,3,1,2,1,3,2,3,2,1,0,1,2,1,3,2,1,0,7,5,2,2,4,1,0,0,0,0,1,0,0,0,2,8,3,2,4,3,1,4,6,8,6,8,10,0,5,11,6,3,2,9,0,1,4,6,0,4,5,0,2,12,1,2,5,4,0,7,6,3,1,3,4,0,0,0,0,0,0,0,0,3,5,2,3,1,4,0,5,6,8,3,7,2,0,6,4,3,6,2,4,1,2,3,5,5,0,5,1,1,2,5,1,4,3,0,3,2,2,5,4,2,1,2,0,0,0,0,1,0,2,4,2,0,0,5,0,3,7,4,2,2,3,0,3,5,3,6,5,1,0,4,3,5,2,0,2,0,2,2,3,1,1,1,0,4,0,3,3,1,3,0,0,0,0,1,0,0,0,3,3,0,1,1,4,0,1,12,5,2,4,2,0,1,2,6,3,3,3,0,1,3,2,2,2,0,0,3,6,3,2,2,2,0,1,3,2,5,1,1,0,0,0,0,0,0,0,0,3,7,5,2,2,4,0,5,6,2,1,4,3,0,0,6,4,3,1,1,0,4,5,3,4,1,0,0,3,2,5,1,3,2,0,1,3,3,1,3,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.7565698478561549,-0.34439834024896265,-0.673582295988935,-0.7759336099585062,-1.1756569847856155,-0.08437067773167359,-0.2641770401106501,-1.338865836791148,-0.3872752420470263,-0.9557399723374828,-0.8326417704011065,-0.31950207468879666,-0.6251728907330567,-1.1327800829875518,-0.623789764868603,-0.27247579529737204,-0.5394190871369294,-1.8105117565698479,-0.8658367911479945,-0.8520055325034578
P28066,0.08713692946058091,0.029045643153526972,0.029045643153526972,0.04149377593360996,0.012448132780082987,0.04979253112033195,0.1037344398340249,0.07053941908713693,0.02074688796680498,0.07468879668049792,0.07883817427385892,0.05394190871369295,0.03734439834024896,0.04564315352697095,0.03319502074688797,0.07883817427385892,0.06639004149377593,0.004149377593360996,0.016597510373443983,0.06639004149377593,2,4,0,1,1,2,0,2,3,1,4,2,2,1,2,1,3,0,0,2,0,0,2,1,0,1,0,0,2,0,0,0,0,3,0,1,3,2,1,1,2,1,1,0,0,0,0,0,0,1,2,3,0,2,3,0,2,3,4,1,2,0,0,1,1,5,2,1,0,0,2,2,2,2,0,0,0,1,1,1,0,1,2,0,2,1,2,0,1,1,0,1,0,0,0,0,0,0,2,3,3,2,0,1,1,0,2,2,1,1,2,0,3,3,2,2,2,1,0,2,3,0,0,0,0,0,1,1,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,3,2,1,1,1,0,0,4,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,2,3,1,1,1,1,0,1,1,2,1,0,2,0,2,1,1,1,1,1,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5291666666666667,-1.3708333333333333,-1.7125,-1.8083333333333333,-2.6708333333333334,-1.4916666666666667,-1.2833333333333334,-1.525,-1.7875,-1.3375,-1.575,-1.3875,-1.25,-2.1,-2.7583333333333333,-0.8958333333333334,-0.7708333333333334,-3.529166666666667,-1.7291666666666667,-1.0833333333333333
P28070,0.08333333333333333,0.07196969696969698,0.030303030303030304,0.045454545454545456,0.003787878787878788,0.03409090909090909,0.056818181818181816,0.10227272727272728,0.011363636363636364,0.045454545454545456,0.09090909090909091,0.01893939393939394,0.04924242424242424,0.03409090909090909,0.04924242424242424,0.08333333333333333,0.05303030303030303,0.015151515151515152,0.056818181818181816,0.06439393939393939,4,5,1,1,1,1,0,6,3,6,2,0,3,0,8,2,3,1,1,1,0,0,1,0,0,1,0,0,0,1,4,0,0,1,0,2,2,3,0,2,0,0,0,0,0,0,0,0,0,2,2,6,1,3,4,0,3,1,1,2,1,1,0,2,1,3,2,0,4,0,2,1,2,1,2,0,0,2,0,2,1,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,4,6,5,0,1,0,0,4,3,2,4,1,0,0,3,3,3,3,1,0,0,3,2,1,2,0,0,0,1,0,3,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,1,0,2,1,0,0,1,1,0,0,1,1,1,2,1,0,1,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,2,0,1,0,0,1,6,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,1,0,3,0,1,0,1,1,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.33840304182509506,-1.220532319391635,-1.5475285171102662,-1.5285171102661597,-2.581749049429658,-1.2623574144486691,-1.0836501901140685,-1.2243346007604563,-1.6273764258555132,-1.3536121673003803,-1.467680608365019,-1.2433460076045628,-1.053231939163498,-1.8935361216730038,-2.3840304182509504,-0.714828897338403,-0.7642585551330798,-3.3536121673003803,-1.6007604562737643,-1.1216730038022813
P28072,0.13389121338912133,0.05439330543933055,0.012552301255230125,0.0502092050209205,0.016736401673640166,0.03765690376569038,0.058577405857740586,0.1087866108786611,0.012552301255230125,0.05439330543933055,0.06694560669456066,0.016736401673640166,0.03765690376569038,0.03347280334728033,0.0502092050209205,0.06694560669456066,0.07112970711297072,0.012552301255230125,0.03765690376569038,0.06694560669456066,6,6,8,1,1,3,0,7,5,2,1,2,0,0,3,5,5,1,1,1,0,3,0,1,0,1,0,0,1,0,0,1,0,0,0,2,2,0,1,3,0,0,0,0,0,0,0,0,0,5,4,1,3,0,1,0,2,3,4,1,1,1,0,3,2,3,2,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,6,1,5,1,1,4,0,2,0,2,1,1,1,0,10,0,2,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,1,3,0,0,1,1,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.35714285714285715,-1.4705882352941178,-1.8277310924369747,-1.8991596638655461,-2.7142857142857144,-1.5084033613445378,-1.2941176470588236,-1.5,-1.9369747899159664,-1.3403361344537814,-1.5252100840336134,-1.411764705882353,-1.180672268907563,-2.176470588235294,-2.546218487394958,-0.9915966386554622,-0.819327731092437,-3.638655462184874,-1.7773109243697478,-1.088235294117647
P28074,0.11026615969581749,0.06844106463878327,0.026615969581749048,0.053231939163498096,0.011406844106463879,0.022813688212927757,0.049429657794676805,0.12167300380228137,0.015209125475285171,0.04182509505703422,0.09505703422053231,0.030418250950570342,0.030418250950570342,0.022813688212927757,0.034220532319391636,0.07984790874524715,0.03802281368821293,0.015209125475285171,0.06463878326996197,0.06844106463878327,9,3,7,3,0,0,0,6,5,3,0,0,3,0,7,3,5,2,0,0,0,1,1,2,0,1,2,0,1,1,2,1,3,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,3,5,3,0,4,1,0,1,1,1,0,3,1,0,3,2,3,0,0,1,1,2,1,0,0,0,0,0,0,1,1,1,0,3,1,2,2,3,0,0,1,0,0,0,0,0,0,0,0,5,4,6,3,4,1,0,4,0,2,2,3,0,0,8,2,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,2,1,0,0,2,0,0,2,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,3,0,1,0,1,1,0,4,1,0,0,0,1,0,2,2,2,0,0,1,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3473282442748092,-1.3053435114503817,-1.702290076335878,-1.6755725190839694,-2.614503816793893,-1.3893129770992367,-1.248091603053435,-1.3511450381679388,-1.7595419847328244,-1.4198473282442747,-1.5114503816793894,-1.3435114503816794,-1.0954198473282444,-1.9923664122137406,-2.351145038167939,-0.7786259541984732,-0.7404580152671756,-3.431297709923664,-1.7213740458015268,-1.0954198473282444
P28288,0.048558421851289835,0.06980273141122914,0.03945371775417299,0.042488619119878605,0.013657056145675266,0.03490136570561457,0.057663125948406675,0.07587253414264036,0.025796661608497723,0.0622154779969651,0.1244309559939302,0.06525037936267071,0.030349013657056147,0.048558421851289835,0.03186646433990895,0.05918057663125948,0.04400606980273141,0.007587253414264037,0.048558421851289835,0.06980273141122914,5,10,6,0,2,2,0,6,9,8,2,4,4,0,4,6,5,4,6,4,0,3,4,3,2,0,3,0,1,2,0,0,3,4,0,3,3,3,1,2,0,1,1,1,0,0,0,0,0,4,7,8,8,5,2,1,11,14,8,8,8,2,1,9,4,5,1,7,3,0,4,5,2,2,2,3,0,7,5,7,3,2,1,0,4,2,4,1,3,1,0,0,2,0,0,0,0,0,6,6,5,1,0,1,0,9,8,4,2,7,3,0,1,6,3,1,6,3,1,4,1,3,0,2,1,1,7,4,5,2,3,1,0,1,2,0,2,3,3,0,0,0,0,0,0,1,0,4,3,4,2,1,1,0,4,4,5,1,1,3,0,2,6,5,0,0,0,0,1,4,1,1,1,0,0,1,2,0,1,0,2,0,2,4,1,1,1,1,0,0,1,0,0,0,0,0,2,4,5,2,2,4,1,4,8,1,2,1,3,1,2,6,2,1,1,1,0,1,3,2,0,1,3,0,2,3,1,4,3,0,1,3,2,1,2,2,0,0,0,1,0,1,0,0,0,4,3,2,1,0,3,0,1,7,2,3,2,0,0,0,5,0,5,2,0,0,2,1,1,3,0,0,0,2,4,0,0,3,2,1,0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.601823708206687,-1.2811550151975684,-1.4209726443768997,-1.9240121580547112,-2.522796352583587,-1.0197568389057752,-1.5303951367781155,-1.7416413373860182,-1.78419452887538,-0.6291793313069909,-0.5683890577507599,-1.3525835866261398,-0.6914893617021277,-1.0440729483282676,-2.2264437689969605,-0.5212765957446809,-0.7416413373860182,-2.3693009118541033,-1.4817629179331306,-0.7507598784194529
P29401,0.11717495987158909,0.04654895666131621,0.03210272873194221,0.056179775280898875,0.019261637239165328,0.04173354735152488,0.056179775280898875,0.07223113964686999,0.027287319422150885,0.0754414125200642,0.0738362760834671,0.06741573033707865,0.02086677367576244,0.038523274478330656,0.0449438202247191,0.06741573033707865,0.051364365971107544,0.006420545746388443,0.027287319422150885,0.05778491171749599,9,8,7,3,3,5,1,9,6,6,3,5,5,0,7,7,4,4,4,2,1,8,3,0,2,1,2,0,4,2,7,1,1,2,1,5,2,4,2,1,2,1,2,1,0,1,0,0,0,8,6,7,6,7,5,0,11,4,2,1,7,5,2,7,3,3,0,4,0,1,3,3,3,1,1,4,0,4,2,2,4,3,5,0,8,2,4,2,0,3,0,0,1,1,0,0,0,0,6,4,4,3,4,2,3,9,7,4,2,2,4,0,4,6,1,3,1,1,1,3,2,1,2,2,1,0,2,7,2,1,0,0,0,1,1,2,0,2,0,0,0,1,0,0,0,1,1,4,7,4,0,1,2,0,0,5,2,3,2,2,0,2,3,2,0,1,2,0,1,2,2,2,1,2,0,1,3,2,0,0,0,0,2,4,0,0,1,2,0,0,0,0,0,0,0,0,1,2,3,3,2,0,0,4,5,3,4,1,1,0,3,4,4,2,2,1,0,2,1,2,1,1,0,0,0,3,2,1,1,1,0,1,4,2,1,1,1,0,0,1,0,0,0,0,0,6,7,4,1,0,3,0,5,4,1,1,3,1,0,2,5,2,2,0,0,0,1,3,1,2,0,0,0,0,1,1,0,2,2,0,4,1,0,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.5032154340836013,-1.5482315112540193,-1.5739549839228295,-1.6832797427652733,-2.5739549839228295,-1.4003215434083602,-1.3585209003215435,-1.4935691318327975,-1.332797427652733,-1.3360128617363345,-1.3681672025723473,-1.522508038585209,-1.1205787781350482,-1.7990353697749195,-1.909967845659164,-1.0916398713826367,-1.1591639871382637,-2.8456591639871385,-1.657556270096463,-1.1543408360128617
P30405,0.05314009661835749,0.04830917874396135,0.043478260869565216,0.04830917874396135,0.028985507246376812,0.014492753623188406,0.028985507246376812,0.12560386473429952,0.024154589371980676,0.033816425120772944,0.0821256038647343,0.07729468599033816,0.01932367149758454,0.05314009661835749,0.05314009661835749,0.10628019323671498,0.05314009661835749,0.00966183574879227,0.014492753623188406,0.0821256038647343,0,2,1,4,1,2,0,3,3,2,1,1,0,0,2,2,2,0,3,0,1,3,0,1,1,2,0,1,2,2,2,1,0,1,0,2,2,1,0,1,0,0,0,0,0,0,1,1,0,6,3,2,0,3,0,0,3,1,0,2,3,0,0,1,2,1,0,1,1,1,2,0,1,0,1,3,0,1,1,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,1,1,2,2,2,2,0,2,0,1,2,4,0,1,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,3,1,1,2,0,1,0,3,1,2,1,0,1,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0145631067961165,-1.5436893203883495,-1.2621359223300972,-1.5242718446601942,-2.4029126213592233,-1.354368932038835,-1.2184466019417475,-1.4757281553398058,-1.8300970873786409,-1.5970873786407767,-1.7427184466019416,-1.0194174757281553,-1.5339805825242718,-1.7135922330097086,-1.6601941747572815,-0.8689320388349514,-0.7281553398058253,-3.296116504854369,-1.9514563106796117,-1.116504854368932
P30837,0.09284332688588008,0.05609284332688588,0.03868471953578337,0.048355899419729204,0.015473887814313346,0.04642166344294004,0.07156673114119923,0.08897485493230174,0.017408123791102514,0.0425531914893617,0.08317214700193423,0.059961315280464215,0.017408123791102514,0.05415860735009671,0.05029013539651837,0.0367504835589942,0.058027079303675046,0.013539651837524178,0.027079303675048357,0.08123791102514506,9,7,3,3,6,5,2,9,5,5,2,5,4,0,3,6,3,2,4,1,0,4,3,2,3,0,2,0,1,3,1,1,2,10,0,5,0,4,2,3,3,0,1,1,0,0,0,0,1,6,5,5,2,3,5,0,4,8,6,7,5,3,0,7,4,1,2,5,2,0,6,2,2,3,0,1,0,3,5,1,2,1,1,0,1,4,0,2,2,1,0,0,1,0,0,0,0,0,4,7,3,0,5,1,0,4,7,3,1,1,0,1,3,1,1,1,1,1,0,2,1,0,1,1,1,1,5,0,3,0,2,1,0,2,2,0,1,1,2,0,0,0,0,0,0,0,0,5,4,5,2,1,1,1,3,7,3,0,0,0,0,1,3,1,0,0,2,0,3,2,2,0,1,1,0,1,0,1,1,0,1,0,2,1,1,1,1,0,0,0,0,1,1,0,0,0,4,1,1,4,2,1,0,5,3,2,1,1,0,0,4,2,0,1,0,1,0,2,4,0,0,1,0,0,0,2,1,2,0,0,0,10,3,1,0,1,0,0,0,0,0,0,0,0,0,6,6,2,3,1,4,0,1,2,3,2,1,3,0,1,1,2,0,1,1,0,1,1,1,2,1,0,1,3,2,1,1,0,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.21511627906976744,-1.748062015503876,-1.9670542635658914,-2.102713178294574,-2.687984496124031,-1.6085271317829457,-1.62984496124031,-1.941860465116279,-2.0232558139534884,-1.6337209302325582,-1.684108527131783,-1.7868217054263567,-1.6046511627906976,-2.4825581395348837,-2.5251937984496124,-1.2344961240310077,-1.2112403100775193,-3.445736434108527,-2.447674418604651,-1.191860465116279
P31689,0.0327455919395466,0.06297229219143577,0.03526448362720403,0.0654911838790932,0.0327455919395466,0.05793450881612091,0.09319899244332494,0.10831234256926953,0.030226700251889168,0.06297229219143577,0.06801007556675064,0.0906801007556675,0.030226700251889168,0.0327455919395466,0.04534005037783375,0.030226700251889168,0.0327455919395466,0.0,0.027707808564231738,0.060453400503778336,8,2,0,3,4,1,0,3,2,1,4,3,3,0,2,1,0,1,0,0,0,1,2,3,0,3,4,2,1,2,0,0,4,3,1,3,1,3,2,3,0,1,0,1,0,0,1,0,0,2,6,0,3,0,3,2,1,3,3,1,4,3,0,3,4,1,0,1,1,0,3,1,3,4,2,0,0,2,1,0,2,5,4,0,4,3,2,1,1,3,0,0,0,0,0,0,0,1,1,2,2,2,3,2,0,3,4,1,2,4,2,0,0,2,2,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,2,0,1,0,1,0,0,0,0,2,1,1,1,1,2,0,3,0,1,2,2,2,1,2,2,1,1,2,0,0,2,2,0,0,0,1,0,2,1,0,1,1,1,0,2,3,1,0,1,1,0,0,0,1,1,0,1,0,3,2,1,1,2,2,0,2,0,1,2,1,3,0,3,2,0,0,0,0,0,1,2,1,0,0,2,0,3,1,4,0,2,4,0,2,5,2,1,3,0,1,0,0,0,1,1,0,0,2,3,0,5,1,3,0,2,6,3,2,0,1,0,2,4,1,0,0,2,2,0,2,1,1,0,1,0,2,2,1,2,2,0,0,2,1,2,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.101010101010101,-0.8207070707070707,-1.1111111111111112,-1.0883838383838385,-2.871212121212121,-0.7323232323232324,-0.7424242424242424,-1.3207070707070707,-1.2474747474747474,-1.7247474747474747,-1.9318181818181819,-0.5252525252525253,-1.5151515151515151,-1.6717171717171717,-1.7323232323232323,-0.8358585858585859,-0.9646464646464646,-3.3333333333333335,-1.878787878787879,-1.47979797979798
